sl,id,source_sentence,paraphrased_sentence
9448,11061, সেই কারণে কিডনি রোগীর সংখ্যা এখন বাড়ছে,যে কারণে কিডনি রোগীর সংখ্যা এখন বাড়ছে।
178532,158403,এদিকে গত ২৪ ঘণ্টায় করোনা থেকে সুস্থ হয়েছেন ৪৬ জন,গত ২৪ ঘণ্টায় ৪৬ জন কোভিড-১৯ থেকে সুস্থ হয়েছেন।
168259,147618,যেমন সন্তানধারণ করলে শুরু থেকেই দ্বিগুণ খাবার খেতে হবে প্রচুর ভাত খেতে হবে এসব ঠিক নয়,"যেমন, সন্তান হলে শুরু থেকেই দ্বিগুণ খাবার খেতে হবে এবং প্রচুর ভাত খেতে হবে- এগুলো ঠিক নয়।"
30069,106,সাদা চুল রং করতে চাইলে প্রাকৃতিক পদ্ধতি অবলম্বন করা যেতে পারে,সাদা চুলে রং করতে চাইলে প্রাকৃতিক উপায় অবলম্বন করা যেতে পারে।
28456,33802,চিকিৎসা পদ্ধতির অজস্র ত্রুটির দায় মাথায় নিয়ে ১৯৫১ সালে পরলোকে পাড়ি দেন ভোরোনফ,"1951 সালে, ভোরোনফ অসংখ্য চিকিৎসা ত্রুটির দায় নিয়ে মারা যান।"
156519,134896,নখ এবং ত্বকে নিয়মিত ময়েশ্চারাইজার ব্যবহার করে মসৃণ রাখুন,নিয়মিত ময়েশ্চারাইজার ব্যবহার করে নখ ও ত্বক মসৃণ রাখুন।
7817,9115,"চিকিৎসকদের কথায়, দুপুর বা বিকালের দিকে বাইরের তাপমাত্রা মারাত্মক আকার নেয়","চিকিৎসকদের মতে, বিকেল বা বিকেলে বাইরের তাপমাত্রা মারাত্মক আকার ধারণ করে।"
5255,6156, এই দুই ধরনের ফাইবার শরীরে রক্তে শর্করার মাত্রা কমায়,এই দুই ধরনের ফাইবার শরীরে রক্তে শর্করার মাত্রা কমায়।
9849,11539, গত একদিনে ডেঙ্গুতে আক্রান্ত হয়ে ১৮৯ জন রোগী হাসপাতালে ভর্তি হয়েছেন,গত দিনে ডেঙ্গুতে আক্রান্ত হয়ে হাসপাতালে ভর্তি হয়েছেন ১৮৯ জন।
130691,107384,বাংলাদেশের একজন বৈচিত্র্যময় এবং অগ্রগামী হেলথকেয়ার পেশাজীবী উদ্যোক্তা ও সমাজসেবী হিসেবে তিনি স্বাস্থ্যসেবা ব্যবস্থাপনায় উল্লেখযোগ্য পরিবর্তন সাধন করেছেন বিশেষত দীর্ঘদিন ধরে অসুস্থ রোগীদের মধ্যে রোগের নিরাময় বিষয়ক প্রচারণা এবং বাংলাদেশে কম খরচে উন্নত প্রযুক্তির আন্তর্জাতিক ফার্মা পণ্য ও মেডিক্যাল ডিভাইস নিয়ে আসার ক্ষেত্রে অত্যন্ত গুরুত্বপূর্ণ ভূমিকা রেখেছেন,"বাংলাদেশের একজন বৈচিত্র্যময় এবং অগ্রগামী স্বাস্থ্যসেবা পেশাদার উদ্যোক্তা এবং জনহিতৈষী হিসাবে, তিনি স্বাস্থ্যসেবা ব্যবস্থাপনায় উল্লেখযোগ্য পরিবর্তন করেছেন, বিশেষ করে দীর্ঘস্থায়ী অসুস্থ রোগীদের নিরাময়ের জন্য প্রচারাভিযানে, এবং কম খরচে, উচ্চ প্রযুক্তির আন্তর্জাতিক ফার্মা পণ্য এবং চিকিৎসা আনার ক্ষেত্রে সহায়ক ভূমিকা পালন করেছেন। বাংলাদেশে ডিভাইস।"
191767,171661,গরমে কাঁচা আমের ডাল সকলেরই খুব প্রিয় খাবার,গ্রীষ্মকালে কাঁচা আমের ডাল সবারই প্রিয় খাবার।
48711,19996,পাঁচ ধূমপান কিডনিতে রক্ত চলাচল ব্যহত করে,5. ধূমপান কিডনিতে রক্ত ​​​​প্রবাহকে ব্যাহত করে।
132177,108922,আমাদের দেশে গড় বয়স ২৭ বছর এখন পর্যন্ত মৃত্যু হার সবচেয়ে বেশি ১৬ ৬৫ থেকে ৭৪ বছর এর মধ্যে,"আমাদের দেশে গড় বয়স 27 বছর, এবং মৃত্যুর হার 1665 থেকে 74 বছরের মধ্যে সর্বোচ্চ।"
6604,7708, মেটাবলিজম বাড়ার কারণে দেহ থেকে মেদের বহর দ্রুত গতিতে কমে যাবে,"মেটাবলিজম বৃদ্ধির কারণে, শরীর দ্রুত হারে চর্বি হারাবে।"
22726,27037, তাকে দেখা গেছে একের পর এক কমেডি সিরিজেও,একের পর এক কমেডি ধারাবাহিকেও দেখা গেছে তাকে।
810,953,"সাংবাদিকদের আরেক প্রশ্নের জবাবে তিনি বলেন, ‘ঢালাওভাবে বলা—এটা কাজ করছে না, ওটা কাজ করছে না! আমার ফলাফলই তো বলে দিচ্ছে কোনটা কাজ করছে","সাংবাদিকদের আরেক প্রশ্নের জবাবে তিনি বলেন: 'এটা ক্লিনলি বললে- এটা কাজ করছে না, কাজ হচ্ছে না! আমার ফলাফল আমাকে বলে কি কাজ করে."
113504,89106,পটাশিয়াম ও খনিজসমৃদ্ধ ফলমূল ও শাকসবজি খেলে পটাশিয়াম শরীর থেকে সোডিয়ামকে বের করে দিয়ে রক্তচাপ কমিয়ে আনে,পটাসিয়াম এবং খনিজ পটাসিয়াম সমৃদ্ধ ফল এবং শাকসবজি খাওয়া শরীর থেকে সোডিয়াম অপসারণ করে রক্তচাপ কমায়।
90859,64897,এটি স্মৃতিশক্তি হ্রাসের পাশাপাশি সিদ্ধান্ত গ্রহণে কোনো বিষয়ে মনোনিবেশ করা ও সহজেই বিভ্রান্ত হওয়ার মতো সমস্যা দেখা দিতে পারে,এর ফলে স্মৃতিশক্তি হ্রাসের পাশাপাশি মনোযোগ দিতে এবং সহজে সিদ্ধান্ত নিতে সমস্যা হতে পারে।
37748,8290,এ সময়ে হঠাৎ গরম হঠাৎ বৃষ্টি,এ সময় হঠাৎ গরম ও হঠাৎ বৃষ্টি হচ্ছে।
129626,106269,যে কোনো রোগে আক্রান্ত হলেই নিকটস্থ হাসপাতালে যেন চিকিৎসা দেয়া হয়,কোনো রোগ হলে নিকটস্থ হাসপাতালে চিকিৎসা দিতে হবে।
19645,23339, কিন্তু যাদের শরীরে অ্যালবুমিনের পরিমাণ বেশি তারা সেদ্ধ ডিমের সাদা অংশ খাবেন না,কিন্তু যাদের শরীরে অ্যালবুমিনের পরিমাণ বেশি তাদের সেদ্ধ ডিমের সাদা অংশ খাওয়া উচিত নয়।
60152,32322,যাদের চিকেন পক্স অথবা সিঙ্গেল হয়েছে শুধু তাদের ক্ষেত্রে রামজি হান্ট সিনড্রম হতে পারে,চিকেন পক্স বা চিকেন পক্সে আক্রান্ত ব্যক্তিরাই রামজি-হান্ট সিনড্রোম হতে পারে।
64048,36447, জ্বর হলে জ্বর কমাতে শুধু প্যারাসিটামল খাওয়াতে হবে,জ্বর হলে জ্বর কমানোর জন্য শুধুমাত্র প্যারাসিটামল খেতে হবে।
160889,139624,থাইরয়েড গ্রন্থির কোনো অংশ টিউমারের মতো ফুলে উঠলে তাকে বলা হয় থাইরয়েড নডিউল,থাইরয়েড গ্রন্থির কোনো অংশ টিউমারের মতো ফুলে গেলে তাকে থাইরয়েড নডিউল বলে।
54784,26538,হঠাৎ পা ফুলে যাওয়া খুবই স্বাভাবিক ঘটনা,হঠাৎ পা ফুলে যাওয়া খুবই স্বাভাবিক।
129465,106086,তাই এখন আমাদের ঝুঁকি নিয়েই নিত্যদিনের কাজকর্ম ও যাতায়াত করতে হবে,তাই এখন আমাদের দৈনন্দিন কাজকর্ম করতে হবে এবং নিজ দায়িত্বে ভ্রমণ করতে হবে।
142388,119699,সার্স ও মার্স পরিবারের সদস্য নতুন ভাইরাসের নাম দেয়া হয়েছে নভেল করোনাভাইরাস,সারস এবং মঙ্গল গ্রহের পরিবারের সদস্য নতুন ভাইরাসটির নামকরণ করা হয়েছে নভেল করোনাভাইরাস।
142235,119538,বাবা বিদেশে অবস্থান করার কারণে পরিবারের সবার স্বাস্থ্যসেবার ব্যাপারে লক্ষ্য রাখতে হতো,বাবা বিদেশে থাকার সুবাদে তাকে পরিবারের সবার স্বাস্থ্যের যত্ন নিতে হয়েছে।
139137,116279,এ সময় গ্রামের লোকেরা তাকে গ্রামে থাকতে নিষেধ করে,এ সময় গ্রামের লোকজন তাকে গ্রামে থাকতে নিষেধ করে।
77727,50972,প্রশ্ন টেকসই উন্নয়ন নিশ্চিতকরণে জনগণের সুস্বাস্থ্য গুরুত্বপূর্ণ,প্র: টেকসই উন্নয়ন নিশ্চিত করতে মানুষের সুস্বাস্থ্য গুরুত্বপূর্ণ।
198811,178705,যাঁদের ত্বক অতিরিক্ত শুষ্ক তারা ময়েশ্চারাইজার লাগানোর আগে চাইলে হাইড্রেটিং সিরাম বা শিট মাস্ক বা টোনার ব্যবহার করতে পারেন,"যাদের ত্বক অত্যন্ত শুষ্ক তারা ময়েশ্চারাইজার লাগানোর আগে হাইড্রেটিং সিরাম, শীট মাস্ক বা টোনার ব্যবহার করতে পারেন।"
66401,38994,পরোক্ষ ধূমপানের কারণে প্রতি বছর মার্কিন অধুমপায়ীদের মধ্যে প্রায়ই ৭ হাজার ৩০০ জনের ফুসফুসের ক্যান্সারের কারণে মৃত্যুবরণ করে,"সেকেন্ডহ্যান্ড ধোঁয়া প্রতি বছর মার্কিন ধূমপায়ীদের মধ্যে ফুসফুসের ক্যান্সারে প্রায় 7,300 জন মারা যায়।"
166159,145371,রুচির সমস্যা যেমন খেতে ইচ্ছা না করা খিদে না থাকা বা বেশি বেশি খাওয়া,"ক্ষুধার সমস্যা যেমন খেতে না চাওয়া, ক্ষুধা না লাগা বা বেশি খাওয়া"
188688,168582,এক কথায় বলতে গেলে স্কিবেসজাম্পিং হলো এমন একটি চরম খেলা যেখানে উঁচু পাহাড় থেকে এক লাফে স্কি করতে হয়,"সংক্ষেপে, স্কি বেস জাম্পিং একটি চরম খেলা যেখানে আপনাকে একবারে একটি উঁচু পাহাড় থেকে লাফ দিতে হবে।"
150192,128056,যাঁদের মারাত্মক জটিলতা হওয়ার আশঙ্কা তাঁদের লক্ষণ শুরু হওয়ার দুই থেকে চার দিনের মধ্যে রেসপিরেটরি প্যানেল টেস্ট করাতে হবে,যাদের গুরুতর জটিলতার ঝুঁকি রয়েছে তাদের লক্ষণ শুরু হওয়ার দুই থেকে চার দিনের মধ্যে একটি শ্বাসযন্ত্রের প্যানেল পরীক্ষা করা উচিত।
163810,142808,কারণ এসব শরীরকে পানিশূন্য করে,কারণ এগুলো শরীরকে ডিহাইড্রেট করে।
65430,37967,শতাংশের দিক দিয়ে এর অবস্থান ৪৭ এর পর যথাক্রমে চোখ ৩১  সুগন্ধি ১১  পোশাক ৭ আর চুল ৪ শতাংশ,"শতাংশের দিক থেকে এর অবস্থান যথাক্রমে ৪৭, চোখ ৩১ পারফিউম, ১১ জামাকাপড় ৭ এবং চুল ৪ শতাংশ।"
181499,161379,বইপ্রেমীরা বুক মার্ক ব্যবহার করেন কেন বইয়ের পড়ার অংশটুকু খুঁজে পেতে,বইপ্রেমীরা বইয়ের যে অংশটি পড়ছেন তা খুঁজে বের করতে বুকমার্ক ব্যবহার করেন কেন?
112317,87890,সম্প্রতি গবেষণায় জানা যায় মাড়ি রোগের সঙ্গে শুধু হৃদরোগ সম্পৃক্ত নয় বরং মাড়ি রোগের কারণে ব্রেন স্ট্রোক হতে পারে,"সাম্প্রতিক গবেষণায় দেখা গেছে যে মাড়ির রোগের সাথে শুধু হৃদরোগই জড়িত নয়, মাড়ির রোগের কারণে ব্রেন স্ট্রোকও হতে পারে।"
128745,105336,তার আগেই লকডাউনের অধিকাংশ বিধিনিষেধ তুলে নেওয়া হয়েছে,তার আগেই লকডাউনের বেশিরভাগ নিষেধাজ্ঞা তুলে নেওয়া হয়েছে।
68412,41078,এ সময় জলবসন্ত বা চিকেনপক্সসহ অন্যান্য সংক্রামক রোগও বেশি হয়,এ সময় চিকেনপক্স বা চিকেনপক্সসহ অন্যান্য সংক্রামক রোগ বেশি দেখা যায়।
72465,45371,বিশেষ করে শিশুদের ঝুঁকি বেশি,শিশুরা বিশেষ করে ঝুঁকির মধ্যে রয়েছে।
89987,63951,লিউকোপ্লাকিয়ার পরীক্ষানিরীক্ষা  লিউকোপ্লাকিয়ার সাদা দাগ ধীরে ধীরে বিস্তার লাভ করে,লিউকোপ্লাকিয়া পরীক্ষা লিউকোপ্লাকিয়ার সাদা ছোপ ধীরে ধীরে বিকাশ লাভ করে।
160068,138736,আগে সন্তান ধারণের সময়ও গর্ভকালীন ডায়াবেটিস ছিল,পূর্ববর্তী গর্ভাবস্থায় গর্ভকালীন ডায়াবেটিস ছিল।
101073,75854,বিএমডি দ্বারা হাড়ের ঘনত্ব সঠিকভাবে নির্ণয় করে হাড় ভাঙার ঝুঁকি এবং এর সঠিক চিকিৎসা নির্ধারণ করা যায়,"সঠিকভাবে হাড়ের ঘনত্ব পরিমাপ করে, BMD ফ্র্যাকচারের ঝুঁকি এবং উপযুক্ত চিকিৎসা নির্ধারণে সাহায্য করতে পারে।"
106474,81676,তাই স্বাদু পানির মাছেও আয়োডিন খুব বেশি থাকে না,তাই মিঠা পানির মাছেও খুব বেশি আয়োডিন থাকে না।
9198,10750, মহামারির শুরু থেকে এ পর্যন্ত মোট শনাক্তের হার ১৩ দশমিক ২১ শতাংশ,মহামারী শুরুর পর থেকে মোট সনাক্তকরণের হার 13.21 শতাংশ।
21615,25687, যাদের ডায়াবেটিস আছে তাদের ১০ শতাংশ এই টাইপ ওয়ানে আক্রান্ত,ডায়াবেটিস রোগীদের প্রায় 10 শতাংশের টাইপ 1 ডায়াবেটিস রয়েছে।
112235,87791,এর আগে বিশ্বের অনেক দেশ টিকা গ্রহণের পর রোগীর প্রধান রক্তনালীতে রক্তচাপ বেড়ে যাওয়ার খবরে অ্যাস্ট্রাজেনেকার ভ্যাকসিন ব্যবহার স্থগিত করে,"এর আগে, ভ্যাকসিন গ্রহণের পর রোগীদের প্রধান রক্তনালীতে রক্তচাপ বেড়ে যাওয়ার খবরে বিশ্বের অনেক দেশ অ্যাস্ট্রাজেনেকার ভ্যাকসিনের ব্যবহার স্থগিত করেছিল।"
98626,73172,অভিভাবককে ১৪ দিন আইসোলেশনে থাকতে হবে এবং এটিকে স্বাভাবিকভাবে নিতে হবে,অভিভাবককে 14 দিনের জন্য বিচ্ছিন্ন অবস্থায় থাকতে হবে এবং সাধারণত এটি গ্রহণ করতে হবে।
129879,106538,ফুসফুস ছাড়া হৃদযন্ত্রও আক্রান্ত হতে পারে,ফুসফুস ছাড়াও হার্টও আক্রান্ত হতে পারে।
66177,38759,"শুষ্কতা
সারা দিন পানি পান না করার কারণে মুখে লালা নিঃসরণ কমে যাওয়ায় মুখ শুষ্ক হয়ে পড়ে",শুষ্কতা সারাদিন পানি না খাওয়ার কারণে মুখের লালা নিঃসরণ কমে যায় এবং মুখ শুষ্ক হয়ে যায়।
10076,11802,"এবারের ১০ম আন্তর্জাতিক এই ফোরামে ২৪টি দেশের ৪৩ জন আইএফসি প্রতিনিধি, নীতিনির্ধারক, শীর্ষ খাদ্য উৎপাদক, নির্মাতা, খুচরা বিক্রেতা, পর্যটন কোম্পানি, কোল্ড চেইন লজিস্টিক সরবরাহকারী, ভোক্তা সংস্থা এবং অন্যান্য মূল স্টেকহোল্ডারসহ ৩০০ জন প্রতিনিধিসহ অংশগ্রহণ করবেন","এই 10তম আন্তর্জাতিক ফোরামে 24টি দেশের 43 জন IFC প্রতিনিধি, নীতি নির্ধারক, শীর্ষ খাদ্য উৎপাদনকারী, প্রস্তুতকারক, খুচরা বিক্রেতা, পর্যটন কোম্পানি, কোল্ড চেইন লজিস্টিক প্রদানকারী, ভোক্তা সংস্থা এবং 300 জন প্রতিনিধি সহ অন্যান্য মূল স্টেকহোল্ডাররা অংশগ্রহণ করবেন।"
145013,122486,চাকাগুলো শক্ত যেমন ফাইব্রোডেনোমা বা ক্যানসার বা তরলে ভরা যেমন সিস্ট কি না তা নির্ধারণ করতে আলট্রাসাউন্ড পরিপূরক তথ্য প্রদান করে যা একটি ম্যামোগ্রাম পেতে পারে না,"আল্ট্রাসাউন্ড অতিরিক্ত তথ্য প্রদান করে যা একটি ম্যামোগ্রাম নিশ্চিত করতে পারে না যে পিণ্ডগুলি শক্ত কিনা, যেমন ফাইব্রোডেনোমাস বা ক্যান্সারযুক্ত, বা তরল ভরা, যেমন সিস্ট।"
54403,26115,ভিটামিনসি বা অ্যাসকরবিক এসিড আয়রন শোষণে সাহায্য করে,ভিটামিন সি বা অ্যাসকরবিক অ্যাসিড আয়রন শোষণে সাহায্য করে।
112813,88389,আর এই কাজটি কে করবে   সরকার ও নীতি নির্ধারকদেরকে এ কাজে এগিয়ে আসতে হবে,"আর এ কাজ কারা করবে, এ কাজে সরকার ও নীতিনির্ধারকদের এগিয়ে আসতে হবে।"
2816,3309, এ ছাড়াও অন্যান্য প্রায় সবগুলো হাসপাতালেই শয্যা ফাঁকা রয়েছে,এ ছাড়া বাকি প্রায় সব হাসপাতালেই শয্যা খালি রয়েছে।
41260,12068,তাতে দিনে শনাক্তের হার হয়েছে শূন্য দশমিক ৪৪ শতাংশ,প্রতিদিন সনাক্তকরণের হার 0.44 শতাংশ।
189058,168952,শরীরের পানিশূন্যতা পূরণ করে ক্লান্তি দূর করতে পানি এবং পানীয়জাতীয় খাবারের কোনো বিকল্প নেই,শরীরের হাইড্রেশন পূরণ করতে এবং ক্লান্তি দূর করতে পানি ও পানীয়ের কোনো বিকল্প নেই।
188902,168796,ভিটামিন সি নিউরোট্রান্সমিটার উৎপাদনের জন্য অপরিহার্য,ভিটামিন সি নিউরোট্রান্সমিটার উৎপাদনের জন্য অপরিহার্য।
167030,146305,যেমন পেটের আলট্রাসনোগ্রাম বা প্যাপস স্মিয়ার পরীক্ষা,যেমন পেটের আল্ট্রাসাউন্ড বা প্যাপ স্মিয়ার পরীক্ষা
134553,111419,মেন্যু সিলেকশন সঠিকভাবে করতে হবে যেন তা থেকে সব পুষ্টি উপাদান পাওয়া যায়,মেনু নির্বাচন সঠিকভাবে করা উচিত যাতে এটি থেকে সমস্ত পুষ্টি পাওয়া যায়।
92597,66752,তাই নিজেকে সুরক্ষিত রাখতে বিভিন্ন প্রক্রিয়াজাত মাংস ও চিজ খাওয়া থেকে বিরত থাকতে হবে,"নিজেকে রক্ষা করার জন্য, আপনাকে বিভিন্ন প্রক্রিয়াজাত মাংস এবং পনির খাওয়া এড়িয়ে চলতে হবে।"
178490,158361,মঙ্গলবার স্বাস্থ্য অধিদপ্তর থেকে পাঠানো করোনাবিষয়ক নিয়মিত সংবাদ বিজ্ঞপ্তিতে এসব তথ্য জানানো হয়েছে,মঙ্গলবার স্বাস্থ্য অধিদপ্তর থেকে পাঠানো করোনা সংক্রান্ত নিয়মিত প্রেস বিজ্ঞপ্তিতে এ তথ্য জানানো হয়।
190727,170621,সারাদিন না খেয়ে থাকার কারণে ইফতারের পর ক্লান্ত লাগতে পারে,সারাদিন না খেয়ে থাকার কারণে ইফতারের পর ক্লান্ত বোধ হতে পারে।
28291,33619, তবে বর্তমানে রোগীর চাপ আগের থেকে অনেক বেশি,কিন্তু আগের তুলনায় আজ রোগীর চাপ অনেক বেশি।
100164,74855,আবার কারো কারো দাঁতে গর্ত,কারও কারও দাঁতে ছিদ্র রয়েছে।
112904,88482,যখনই কোনো একটি হরমোনের ঘাটতি নজরে আসবে অতিদ্রুত তা পূরণের চেষ্টা করতে হবে,"যখনই হরমোনের ঘাটতি লক্ষ্য করা যায়, যত তাড়াতাড়ি সম্ভব তা সংশোধন করা উচিত।"
180473,160350,বিভিন্ন ভেষজ উপাদান হলুদ বেসন ও বাদামের গুঁড়ো মিশিয়ে তৈরি করা হতো এই রূপচর্চার পণ্য,"বিভিন্ন ভেষজ উপাদান, হলুদ, বেসন এবং বাদাম গুঁড়ো মিশিয়ে তৈরি করা হয়েছে এই সৌন্দর্য পণ্যটি।"
170637,150155,অবাক করা ব্যাপার হলো কোনো ধরনের ব্যথার অনুভূতি আমার হয়নি,"আশ্চর্যজনকভাবে, আমি কোন ব্যথা অনুভব করিনি।"
88987,62926,তাছাড়া পাইলস যখন খুব বড় হয় তখন মনে হয় মলদ্বারের চতুর্দিকের সব এলাকায় পাইলস ছড়িয়ে পড়ে,তাছাড়া পাইলস যখন অনেক বড় হয় তখন মনে হয় পাইলস মলদ্বারের আশেপাশের সব জায়গায় ছড়িয়ে পড়ে।
146322,123897,পুষ্টিসম্পন্ন খাবার গ্রহণ এবং নিয়মিত ব্যায়ামের মাধ্যমে ওজন এখনো ৬৩ কেজিতে ধরে রাখতে সক্ষম হয়েছি,পুষ্টিকর খাবার খেয়ে এবং নিয়মিত ব্যায়াম করে আমি আমার ওজন ৬৩ কেজি ধরে রাখতে পেরেছি।
137860,114954,৪ ঘরে ঢুকেই পরিহিত কাপড় ডিটারজেন্ট দিয়ে জীবাণুমুক্ত করতে হবে এবং হাত সাবানপানি দিয়ে কমপক্ষে ২০ সেকেন্ড ধরে ভালোভাবে ধুয়ে ফেলতে হবে,4 ঘরে ঢোকার পর পরা জামাকাপড় ডিটারজেন্ট দিয়ে জীবাণুমুক্ত করতে হবে এবং কমপক্ষে 20 সেকেন্ডের জন্য সাবান ও জল দিয়ে হাত ভালোভাবে ধুতে হবে।
143391,120736,কিন্তু এগুলোর কোনোটিই ভাইরাসটির নাম নয়,কিন্তু এগুলোর কোনোটিরই নাম ভাইরাস নয়।
171679,151273,লুপাস মাথার ত্বকে প্রদাহ সৃষ্টি করে চুল পড়ার হার বাড়িয়ে দেয়,"লুপাস মাথার ত্বকে প্রদাহ সৃষ্টি করে, চুল পড়ার হার বাড়িয়ে দেয়।"
164775,143878,অতিরিক্ত মিষ্টিজাতীয় খাবার না খাওয়াই ভালো,বেশি মিষ্টি জাতীয় খাবার না খাওয়াই ভালো।
171403,150969,ভারী ব্যায়াম শুরুর আগে বয়স ও ফিটনেস অনুযায়ী ৬ থেকে ১৫ মিনিট কিছুটা হালকা ব্যায়াম ওয়ার্মআপ করে নিতে পারেন,"ভারী ব্যায়াম শুরু করার আগে, আপনি আপনার বয়স এবং ফিটনেস স্তরের উপর নির্ভর করে কিছু হালকা ব্যায়ামের সাথে 6 থেকে 15 মিনিটের ওয়ার্ম-আপ করতে পারেন।"
182092,161972,তাই ঘামাচি প্রতিরোধের জন্য বরং ঘামের বিষয়েই বেশি সচেতন থাকা প্রয়োজন,তাই চ্যাফিং প্রতিরোধে ঘামের ব্যাপারে আরও সচেতন হওয়া প্রয়োজন।
