source,reference,prediction,latency,error,_idx
হাঁটতে গেলে মানুষ কেন হাঁপিয়ে ওঠে এ বিষয়ে বিস্তারিত জানিয়েছেন মুন্নু মেডিকেল কলেজ ও হাসপাতালের হৃদরোগ বিভাগের প্রধান  অধ্যাপক ডা মোহাম্মদ সাইফউল্লাহ,মুন্নু মেডিক্যাল কলেজ ও হাসপাতালের কার্ডিওলজি বিভাগের প্রধান অধ্যাপক ডাঃ মোহাম্মদ সাইফুল্লাহ কেন হাঁটার সময় হাঁটতে হাঁটতে হাঁটতে পারে সে সম্পর্কে বিস্তারিত জানিয়েছেন।,"হাঁটতে গেলে মানুষ কেন হাঁপিয়ে পড়ে, সে সম্পর্কে বিস্তারিত তথ্য দিয়েছেন মুন্নু মেডিকেল কলেজ ও হাসপাতালের হৃদরোগ বিভাগের প্রধান অধ্যাপক ডা. মোহাম্মদ সাইফউল্লাহ।",1.9974026849999973,,
সেখান থেকেই মূলত মেডিসিনের প্রতি তার বিশেষ আগ্রহ তৈরি হয়,সেখান থেকেই চিকিৎসার প্রতি তার বিশেষ আগ্রহ গড়ে ওঠে।,সেই স্থান থেকেই মূলত তার মেডিসিনের প্রতি বিশেষ আগ্রহের সূত্রপাত ঘটে।,2.9382410410003104,,
যে কেউই করোনা আক্রান্ত হতে পারেন,যে কেউ করোনা ভাইরাসে আক্রান্ত হতে পারে।,যে কোনো ব্যক্তিই করোনায় আক্রান্ত হতে পারেন।,2.9105241390002448,,
ক্রনিক মায়েলোয়েড লিউকেমিয়া সিএমএল তার মধ্যে অন্যতম,ক্রনিক মাইলয়েড লিউকেমিয়া সিএমএল তাদের মধ্যে একটি।,ক্রনিক মায়েলোয়েড লিউকেমিয়া (সিএমএল) তার মধ্যে একটি প্রধান।,0.8793041330000051,,
জ্বাল কমিয়ে ভাজা ভাজা করে রান্না করুন,আঁচ কমিয়ে ভাজা না হওয়া পর্যন্ত রান্না করুন।,জ্বাল হ্রাস করে ভাজাভাজি করে রান্না করুন।,6.0438459070001045,,17.0
 সেই কারণে কিডনি রোগীর সংখ্যা এখন বাড়ছে,যে কারণে কিডনি রোগীর সংখ্যা এখন বাড়ছে।,কিডনি রোগীর সংখ্যা বর্তমানে বেড়ে চলেছে সেই কারণেই।,1.8601011230002769,,18.0
এদিকে গত ২৪ ঘণ্টায় করোনা থেকে সুস্থ হয়েছেন ৪৬ জন,গত ২৪ ঘণ্টায় ৪৬ জন কোভিড-১৯ থেকে সুস্থ হয়েছেন।,বিগত ২৪ ঘণ্টায় করোনা থেকে আরোগ্য লাভ করেছেন ৪৬ জন।,3.498664994999672,,19.0
যেমন সন্তানধারণ করলে শুরু থেকেই দ্বিগুণ খাবার খেতে হবে প্রচুর ভাত খেতে হবে এসব ঠিক নয়,"যেমন, সন্তান হলে শুরু থেকেই দ্বিগুণ খাবার খেতে হবে এবং প্রচুর ভাত খেতে হবে- এগুলো ঠিক নয়।",সন্তানধারণের সময় শুরু থেকেই দ্বিগুণ খাবার ও প্রচুর ভাত খাওয়া প্রয়োজন—এ ধারণা সঠিক নয়।,0.904491784000129,,20.0
সাদা চুল রং করতে চাইলে প্রাকৃতিক পদ্ধতি অবলম্বন করা যেতে পারে,সাদা চুলে রং করতে চাইলে প্রাকৃতিক উপায় অবলম্বন করা যেতে পারে।,প্রাকৃতিক উপায়ে সাদা চুল রাঙানো সম্ভব।,1.2094637460004378,,21.0
চিকিৎসা পদ্ধতির অজস্র ত্রুটির দায় মাথায় নিয়ে ১৯৫১ সালে পরলোকে পাড়ি দেন ভোরোনফ,"1951 সালে, ভোরোনফ অসংখ্য চিকিৎসা ত্রুটির দায় নিয়ে মারা যান।","ভোরোনফ ১৯৫১ সালে মৃত্যুবরণ করেন, চিকিৎসা পদ্ধতির অসংখ্য ত্রুটির দায় নিজের কাঁধে নিয়ে।",4.092152977000296,,22.0
নখ এবং ত্বকে নিয়মিত ময়েশ্চারাইজার ব্যবহার করে মসৃণ রাখুন,নিয়মিত ময়েশ্চারাইজার ব্যবহার করে নখ ও ত্বক মসৃণ রাখুন।,নখ ও ত্বকে প্রতিদিন ময়েশ্চারাইজার লাগিয়ে মসৃণ রাখুন।,7.012207081999804,,23.0
"চিকিৎসকদের কথায়, দুপুর বা বিকালের দিকে বাইরের তাপমাত্রা মারাত্মক আকার নেয়","চিকিৎসকদের মতে, বিকেল বা বিকেলে বাইরের তাপমাত্রা মারাত্মক আকার ধারণ করে।","চিকিৎসকদের মতে, দুপুর বা বিকাল নাগাদ বাইরের তাপমাত্রা ভয়াবহ রূপ ধারণ করে।",3.462906922000002,,24.0
 এই দুই ধরনের ফাইবার শরীরে রক্তে শর্করার মাত্রা কমায়,এই দুই ধরনের ফাইবার শরীরে রক্তে শর্করার মাত্রা কমায়।,শরীরে রক্তে শর্করার মাত্রা হ্রাস করে এই দুই ধরণের আঁশ।,3.351242900000216,,25.0
 গত একদিনে ডেঙ্গুতে আক্রান্ত হয়ে ১৮৯ জন রোগী হাসপাতালে ভর্তি হয়েছেন,গত দিনে ডেঙ্গুতে আক্রান্ত হয়ে হাসপাতালে ভর্তি হয়েছেন ১৮৯ জন।,গত চব্বিশ ঘণ্টায় ডেঙ্গু জ্বরে আক্রান্ত হয়ে ১৮৯ জন হাসপাতালে ভর্তি হয়েছেন।,7.598278520000349,,26.0
বাংলাদেশের একজন বৈচিত্র্যময় এবং অগ্রগামী হেলথকেয়ার পেশাজীবী উদ্যোক্তা ও সমাজসেবী হিসেবে তিনি স্বাস্থ্যসেবা ব্যবস্থাপনায় উল্লেখযোগ্য পরিবর্তন সাধন করেছেন বিশেষত দীর্ঘদিন ধরে অসুস্থ রোগীদের মধ্যে রোগের নিরাময় বিষয়ক প্রচারণা এবং বাংলাদেশে কম খরচে উন্নত প্রযুক্তির আন্তর্জাতিক ফার্মা পণ্য ও মেডিক্যাল ডিভাইস নিয়ে আসার ক্ষেত্রে অত্যন্ত গুরুত্বপূর্ণ ভূমিকা রেখেছেন,"বাংলাদেশের একজন বৈচিত্র্যময় এবং অগ্রগামী স্বাস্থ্যসেবা পেশাদার উদ্যোক্তা এবং জনহিতৈষী হিসাবে, তিনি স্বাস্থ্যসেবা ব্যবস্থাপনায় উল্লেখযোগ্য পরিবর্তন করেছেন, বিশেষ করে দীর্ঘস্থায়ী অসুস্থ রোগীদের নিরাময়ের জন্য প্রচারাভিযানে, এবং কম খরচে, উচ্চ প্রযুক্তির আন্তর্জাতিক ফার্মা পণ্য এবং চিকিৎসা আনার ক্ষেত্রে সহায়ক ভূমিকা পালন করেছেন। বাংলাদেশে ডিভাইস।","তিনি বাংলাদেশের একজন বহুমুখী ও পথিকৃৎ স্বাস্থ্যসেবা পেশাদার, উদ্যোক্তা ও সমাজকর্মী হিসেবে স্বাস্থ্যসেবা ব্যবস্থাপনায় গুরুত্বপূর্ণ পরিবর্তন এনেছেন, বিশেষ করে দীর্ঘমেয়াদী অসুস্থ রোগীদের মধ্যে রোগ নিরাময় সচেতনতা বৃদ্ধি এবং বাংলাদেশে কম মূল্যে উন্নত প্রযুক্তির আন্তর্জাতিক ফার্মাসিউটিক্যাল পণ্য ও চিকিৎসা সরঞ্জাম আনার ক্ষেত্রে অত্যন্ত গুরুত্বপূর্ণ ভূমিকা পালন করেছেন।",25.747781728999144,,27.0
গরমে কাঁচা আমের ডাল সকলেরই খুব প্রিয় খাবার,গ্রীষ্মকালে কাঁচা আমের ডাল সবারই প্রিয় খাবার।,গরমের সময় কাঁচা আমের ডাল সবাই খুব পছন্দ করে।,2.0396418620002805,,28.0
পাঁচ ধূমপান কিডনিতে রক্ত চলাচল ব্যহত করে,5. ধূমপান কিডনিতে রক্ত ​​​​প্রবাহকে ব্যাহত করে।,ধূমপানের কারণে কিডনিতে রক্তপ্রবাহ ব্যাহত হয়।,2.525333004999993,,29.0
আমাদের দেশে গড় বয়স ২৭ বছর এখন পর্যন্ত মৃত্যু হার সবচেয়ে বেশি ১৬ ৬৫ থেকে ৭৪ বছর এর মধ্যে,"আমাদের দেশে গড় বয়স 27 বছর, এবং মৃত্যুর হার 1665 থেকে 74 বছরের মধ্যে সর্বোচ্চ।","আমাদের দেশে গড় আয়ু ২৭ বছর, আর এখন পর্যন্ত সবচেয়ে বেশি মৃত্যুর হার ৬৫ থেকে ৭৪ বছর বয়সীদের মধ্যে।",1.828044924000096,,30.0
 মেটাবলিজম বাড়ার কারণে দেহ থেকে মেদের বহর দ্রুত গতিতে কমে যাবে,"মেটাবলিজম বৃদ্ধির কারণে, শরীর দ্রুত হারে চর্বি হারাবে।",মেটাবলিজম বৃদ্ধির ফলে শরীরের চর্বি দ্রুত হ্রাস পাবে।,2.04689909299941,,31.0
 তাকে দেখা গেছে একের পর এক কমেডি সিরিজেও,একের পর এক কমেডি ধারাবাহিকেও দেখা গেছে তাকে।,তাকে একের পর এক কমেডি সিরিজে দেখা গেছে।,3.908542799000315,,32.0
"সাংবাদিকদের আরেক প্রশ্নের জবাবে তিনি বলেন, ‘ঢালাওভাবে বলা—এটা কাজ করছে না, ওটা কাজ করছে না! আমার ফলাফলই তো বলে দিচ্ছে কোনটা কাজ করছে","সাংবাদিকদের আরেক প্রশ্নের জবাবে তিনি বলেন: 'এটা ক্লিনলি বললে- এটা কাজ করছে না, কাজ হচ্ছে না! আমার ফলাফল আমাকে বলে কি কাজ করে.","সাংবাদিকদের অন্য এক প্রশ্নের উত্তরে তিনি বলেন, ‘সবকিছুকে এক করে বলা—এটা ঠিকঠাক চলছে না, ওটা চলছে না! আমার সাফল্যই তো প্রমাণ করছে কোনটা কার্যকর।’",1.8543466959999928,,33.0
পটাশিয়াম ও খনিজসমৃদ্ধ ফলমূল ও শাকসবজি খেলে পটাশিয়াম শরীর থেকে সোডিয়ামকে বের করে দিয়ে রক্তচাপ কমিয়ে আনে,পটাসিয়াম এবং খনিজ পটাসিয়াম সমৃদ্ধ ফল এবং শাকসবজি খাওয়া শরীর থেকে সোডিয়াম অপসারণ করে রক্তচাপ কমায়।,খনিজ ও পটাশিয়াম সমৃদ্ধ শাকসবজি ও ফলমূল খেলে শরীর থেকে সোডিয়াম বেরিয়ে যায় এবং রক্তচাপ হ্রাস পায়।,11.97766703599973,,34.0
এটি স্মৃতিশক্তি হ্রাসের পাশাপাশি সিদ্ধান্ত গ্রহণে কোনো বিষয়ে মনোনিবেশ করা ও সহজেই বিভ্রান্ত হওয়ার মতো সমস্যা দেখা দিতে পারে,এর ফলে স্মৃতিশক্তি হ্রাসের পাশাপাশি মনোযোগ দিতে এবং সহজে সিদ্ধান্ত নিতে সমস্যা হতে পারে।,"স্মৃতিশক্তি কমার পাশাপাশি সিদ্ধান্ত নেওয়া, কোনো বিষয়ে মনোযোগ দেওয়া ও সহজেই বিভ্রান্ত হওয়ার মতো সমস্যা দেখা দিতে পারে।",3.794452734000515,,35.0
এ সময়ে হঠাৎ গরম হঠাৎ বৃষ্টি,এ সময় হঠাৎ গরম ও হঠাৎ বৃষ্টি হচ্ছে।,"এই সময়ে হঠাৎ করেই গরম, আবার হঠাৎ বৃষ্টি।",5.216112396999961,,36.0
যে কোনো রোগে আক্রান্ত হলেই নিকটস্থ হাসপাতালে যেন চিকিৎসা দেয়া হয়,কোনো রোগ হলে নিকটস্থ হাসপাতালে চিকিৎসা দিতে হবে।,যে কোনো অসুখে আক্রান্ত হলে নিকটবর্তী হাসপাতালে চিকিৎসা নিশ্চিত করতে হবে।,9.73878582099951,,37.0
 কিন্তু যাদের শরীরে অ্যালবুমিনের পরিমাণ বেশি তারা সেদ্ধ ডিমের সাদা অংশ খাবেন না,কিন্তু যাদের শরীরে অ্যালবুমিনের পরিমাণ বেশি তাদের সেদ্ধ ডিমের সাদা অংশ খাওয়া উচিত নয়।,"তবে যাদের শরীরে অ্যালবুমিনের মাত্রা বেশি, তাদের সেদ্ধ ডিমের সাদা অংশ খাওয়া উচিত নয়।",3.269459195999844,,38.0
যাদের চিকেন পক্স অথবা সিঙ্গেল হয়েছে শুধু তাদের ক্ষেত্রে রামজি হান্ট সিনড্রম হতে পারে,চিকেন পক্স বা চিকেন পক্সে আক্রান্ত ব্যক্তিরাই রামজি-হান্ট সিনড্রোম হতে পারে।,রামজি হান্ট সিনড্রম কেবল তাদেরই হতে পারে যারা চিকেন পক্স বা সিঙ্গেলসে আক্রান্ত হয়েছেন।,3.653081768999982,,39.0
 জ্বর হলে জ্বর কমাতে শুধু প্যারাসিটামল খাওয়াতে হবে,জ্বর হলে জ্বর কমানোর জন্য শুধুমাত্র প্যারাসিটামল খেতে হবে।,জ্বর এলে তা কমানোর জন্য শুধুমাত্র প্যারাসিটামল দেওয়া প্রয়োজন।,1.0772999910004728,,40.0
থাইরয়েড গ্রন্থির কোনো অংশ টিউমারের মতো ফুলে উঠলে তাকে বলা হয় থাইরয়েড নডিউল,থাইরয়েড গ্রন্থির কোনো অংশ টিউমারের মতো ফুলে গেলে তাকে থাইরয়েড নডিউল বলে।,থাইরয়েড গ্রন্থির কোনো অংশ টিউমারের মতো ফুলে গেলে সেটিকে থাইরয়েড নডিউল বলা হয়।,2.544094505999965,,41.0
হঠাৎ পা ফুলে যাওয়া খুবই স্বাভাবিক ঘটনা,হঠাৎ পা ফুলে যাওয়া খুবই স্বাভাবিক।,পা হঠাৎ ফুলে ওঠা একেবারে সাধারণ ব্যাপার।,10.038511997000567,,42.0
তাই এখন আমাদের ঝুঁকি নিয়েই নিত্যদিনের কাজকর্ম ও যাতায়াত করতে হবে,তাই এখন আমাদের দৈনন্দিন কাজকর্ম করতে হবে এবং নিজ দায়িত্বে ভ্রমণ করতে হবে।,তাই এখন আমাদের ঝুঁকি মেনেই প্রতিদিনের কাজ ও চলাচল করতে হবে।,1.064787104000061,,43.0
সার্স ও মার্স পরিবারের সদস্য নতুন ভাইরাসের নাম দেয়া হয়েছে নভেল করোনাভাইরাস,সারস এবং মঙ্গল গ্রহের পরিবারের সদস্য নতুন ভাইরাসটির নামকরণ করা হয়েছে নভেল করোনাভাইরাস।,"নতুন ভাইরাসটির নাম নভেল করোনাভাইরাস রাখা হয়েছে, যা সার্স ও মার্স পরিবারের অন্তর্ভুক্ত।",0.6744080960006613,,44.0
বাবা বিদেশে অবস্থান করার কারণে পরিবারের সবার স্বাস্থ্যসেবার ব্যাপারে লক্ষ্য রাখতে হতো,বাবা বিদেশে থাকার সুবাদে তাকে পরিবারের সবার স্বাস্থ্যের যত্ন নিতে হয়েছে।,বাবা বিদেশে থাকায় পরিবারের প্রত্যেকের স্বাস্থ্যসেবার দিকে নজর দিতে হতো।,0.9892205559999638,,45.0
এ সময় গ্রামের লোকেরা তাকে গ্রামে থাকতে নিষেধ করে,এ সময় গ্রামের লোকজন তাকে গ্রামে থাকতে নিষেধ করে।,গ্রামের মানুষজন তখন তাকে গ্রামে থাকতে বারণ করে দেয়।,0.6397504360002131,,46.0
প্রশ্ন টেকসই উন্নয়ন নিশ্চিতকরণে জনগণের সুস্বাস্থ্য গুরুত্বপূর্ণ,প্র: টেকসই উন্নয়ন নিশ্চিত করতে মানুষের সুস্বাস্থ্য গুরুত্বপূর্ণ।,টেকসই উন্নয়ন নিশ্চিত করতে মানুষের ভালো স্বাস্থ্য অপরিহার্য।,0.6118881440006589,,47.0
যাঁদের ত্বক অতিরিক্ত শুষ্ক তারা ময়েশ্চারাইজার লাগানোর আগে চাইলে হাইড্রেটিং সিরাম বা শিট মাস্ক বা টোনার ব্যবহার করতে পারেন,"যাদের ত্বক অত্যন্ত শুষ্ক তারা ময়েশ্চারাইজার লাগানোর আগে হাইড্রেটিং সিরাম, শীট মাস্ক বা টোনার ব্যবহার করতে পারেন।","অতিরিক্ত শুষ্ক ত্বকের অধিকারীরা চাইলে ময়েশ্চারাইজার ব্যবহারের আগে হাইড্রেটিং সিরাম, শিট মাস্ক বা টোনার ব্যবহার করতে পারেন।",7.434705470000154,,48.0
পরোক্ষ ধূমপানের কারণে প্রতি বছর মার্কিন অধুমপায়ীদের মধ্যে প্রায়ই ৭ হাজার ৩০০ জনের ফুসফুসের ক্যান্সারের কারণে মৃত্যুবরণ করে,"সেকেন্ডহ্যান্ড ধোঁয়া প্রতি বছর মার্কিন ধূমপায়ীদের মধ্যে ফুসফুসের ক্যান্সারে প্রায় 7,300 জন মারা যায়।",প্রতি বছর পরোক্ষ ধূমপানের ফলে মার্কিন যুক্তরাষ্ট্রের অধূমপায়ীদের মধ্যে প্রায় ৭ হাজার ৩০০ জন ফুসফুসের ক্যান্সারে আক্রান্ত হয়ে মারা যান।,1.1100003800002014,,49.0
রুচির সমস্যা যেমন খেতে ইচ্ছা না করা খিদে না থাকা বা বেশি বেশি খাওয়া,"ক্ষুধার সমস্যা যেমন খেতে না চাওয়া, ক্ষুধা না লাগা বা বেশি খাওয়া","খাওয়ার রুচির সমস্যার মধ্যে যেমন খেতে না চাওয়া, ক্ষুধা না থাকা, কিংবা অতিরিক্ত খাওয়া পড়ে।",3.5946139790003144,,50.0
এক কথায় বলতে গেলে স্কিবেসজাম্পিং হলো এমন একটি চরম খেলা যেখানে উঁচু পাহাড় থেকে এক লাফে স্কি করতে হয়,"সংক্ষেপে, স্কি বেস জাম্পিং একটি চরম খেলা যেখানে আপনাকে একবারে একটি উঁচু পাহাড় থেকে লাফ দিতে হবে।","স্কিবেসজাম্পিং হচ্ছে একটি চরম ক্রীড়া, যেখানে উচ্চ পাহাড় থেকে এক লাফে স্কি করতে হয়, এককথায় বলতে গেলে।",13.221664867000072,,51.0
যাঁদের মারাত্মক জটিলতা হওয়ার আশঙ্কা তাঁদের লক্ষণ শুরু হওয়ার দুই থেকে চার দিনের মধ্যে রেসপিরেটরি প্যানেল টেস্ট করাতে হবে,যাদের গুরুতর জটিলতার ঝুঁকি রয়েছে তাদের লক্ষণ শুরু হওয়ার দুই থেকে চার দিনের মধ্যে একটি শ্বাসযন্ত্রের প্যানেল পরীক্ষা করা উচিত।,,8.595036962999984,request_error:'NoneType' object has no attribute 'strip',52.0
কারণ এসব শরীরকে পানিশূন্য করে,কারণ এগুলো শরীরকে ডিহাইড্রেট করে।,কারণ এগুলো শরীরে পানিশূন্যতা সৃষ্টি করে।,2.456745614999818,,53.0
শতাংশের দিক দিয়ে এর অবস্থান ৪৭ এর পর যথাক্রমে চোখ ৩১  সুগন্ধি ১১  পোশাক ৭ আর চুল ৪ শতাংশ,"শতাংশের দিক থেকে এর অবস্থান যথাক্রমে ৪৭, চোখ ৩১ পারফিউম, ১১ জামাকাপড় ৭ এবং চুল ৪ শতাংশ।","শতকরা হারে এর অবস্থান ৪৭-এর পরে যথাক্রমে চোখ ৩১, সুগন্ধি ১১, পোশাক ৭ এবং চুল ৪ শতাংশ।",1.4196807250000347,,54.0
বইপ্রেমীরা বুক মার্ক ব্যবহার করেন কেন বইয়ের পড়ার অংশটুকু খুঁজে পেতে,বইপ্রেমীরা বইয়ের যে অংশটি পড়ছেন তা খুঁজে বের করতে বুকমার্ক ব্যবহার করেন কেন?,বই পড়ুয়ারা বুকমার্ক ব্যবহার করে বইয়ের পড়ার জায়গাটি সহজে খুঁজে পেতে।,3.1214308520002305,,55.0
সম্প্রতি গবেষণায় জানা যায় মাড়ি রোগের সঙ্গে শুধু হৃদরোগ সম্পৃক্ত নয় বরং মাড়ি রোগের কারণে ব্রেন স্ট্রোক হতে পারে,"সাম্প্রতিক গবেষণায় দেখা গেছে যে মাড়ির রোগের সাথে শুধু হৃদরোগই জড়িত নয়, মাড়ির রোগের কারণে ব্রেন স্ট্রোকও হতে পারে।","সম্প্রতি এক গবেষণায় দেখা গেছে, মাড়ির রোগ শুধু হৃদরোগের সঙ্গেই জড়িত নয়, বরং এটি ব্রেন স্ট্রোকের কারণও হতে পারে।",9.508951288999924,,56.0
তার আগেই লকডাউনের অধিকাংশ বিধিনিষেধ তুলে নেওয়া হয়েছে,তার আগেই লকডাউনের বেশিরভাগ নিষেধাজ্ঞা তুলে নেওয়া হয়েছে।,লকডাউনের বেশিরভাগ বিধিনিষেধ তার আগেই প্রত্যাহার করা হয়েছে।,2.91073813300045,,57.0
এ সময় জলবসন্ত বা চিকেনপক্সসহ অন্যান্য সংক্রামক রোগও বেশি হয়,এ সময় চিকেনপক্স বা চিকেনপক্সসহ অন্যান্য সংক্রামক রোগ বেশি দেখা যায়।,জলবসন্ত ও চিকেনপক্সের মতো অন্যান্য সংক্রামক রোগও এই সময়ে বেশি দেখা যায়।,1.8059223979998933,,58.0
বিশেষ করে শিশুদের ঝুঁকি বেশি,শিশুরা বিশেষ করে ঝুঁকির মধ্যে রয়েছে।,বিশেষত শিশুদের জন্য ঝুঁকি বেশি।,17.21927687399966,,59.0
লিউকোপ্লাকিয়ার পরীক্ষানিরীক্ষা  লিউকোপ্লাকিয়ার সাদা দাগ ধীরে ধীরে বিস্তার লাভ করে,লিউকোপ্লাকিয়া পরীক্ষা লিউকোপ্লাকিয়ার সাদা ছোপ ধীরে ধীরে বিকাশ লাভ করে।,লিউকোপ্লাকিয়ার সাদা দাগ ধীরে ধীরে ছড়িয়ে পড়ে।,0.9179330519991707,,60.0
আগে সন্তান ধারণের সময়ও গর্ভকালীন ডায়াবেটিস ছিল,পূর্ববর্তী গর্ভাবস্থায় গর্ভকালীন ডায়াবেটিস ছিল।,আগের গর্ভাবস্থাতেও গর্ভ,3.21194499899957,,61.0
বিএমডি দ্বারা হাড়ের ঘনত্ব সঠিকভাবে নির্ণয় করে হাড় ভাঙার ঝুঁকি এবং এর সঠিক চিকিৎসা নির্ধারণ করা যায়,"সঠিকভাবে হাড়ের ঘনত্ব পরিমাপ করে, BMD ফ্র্যাকচারের ঝুঁকি এবং উপযুক্ত চিকিৎসা নির্ধারণে সাহায্য করতে পারে।",হাড়ের ঘনত্ব সঠিকভাবে পরিমাপে বিএমডি ব্যবহার করে হাড় ভাঙার আশঙ্কা ও তার উপযুক্ত চিকিৎসা নির্ধারণ করা সম্ভব।,2.9477123859996937,,62.0
