serial_no,exam_name,question,options/A,options/B,options/C,options/D,answer,explanation
666,MAT 2004-2005,ইন্টারফেরনের কাজ নয় কোনটি?,অনাক্রম্যতন্ত্রকে নিয়ন্ত্রণ করা,অ্যান্টিবডি উৎপাদনে বাঁধা দেওয়া,হরমোন উৎপাদনে সাহায্য করা,NK কোষের ক্ষমতা ও বংশবৃদ্ধি করা,C,ইন্টারফেরন হলো ভাইরাস আক্রান্ত কোষ থেকে নিঃসৃত ক্ষুদ্র গ্লাইকোপ্রোটিন। এটি সুস্থ কোষকে ভাইরাস আক্রমণের বিরুদ্ধে প্রতিরোধী করে তোলে। তবে এটি হরমোন উৎপাদনে সাহায্য করে না।
345,DAT 2017-2018,"মানব পিত্তরস সম্বন্ধে নিচের কোন তথ্যটি সঠিক, ইহা-",একটি অম্লীয় তরল,এনজাইম সমৃদ্ধ,পাকস্থলিতে পরিপাকে সহায়তা করে,যকৃতে তৈরি হয়,D,যকৃত কোষ (হেপাটোসাইট) অনবরত পিত্তরস ক্ষরণ করে এবং পিত্তথলিতে জমা রাখে। পিত্তরস ক্ষার জাতীয় তরল পদার্থ। এতে কোন এনজাইম থাকে না। পিত্তরসের সোডিয়াম বাইকার্বনেট উপাদানটি পাকস্থলী থেকে আগত HCI কে প্রশমিত করে ক্ষারীয় পরিবেশ সৃষ্টি করে যা ক্ষুদ্রান্ত্রে বিভিন্ন এনজাইমের কার্যকারিতার জন্য অত্যন্ত প্রয়োজন।
603,MAT 2001-2002,হার্ডেরিয়ান গ্রন্থির অবস্থান যেখানে-,ক্ষুদ্রান্ত,চক্ষু,অ্যাড্রেনাল,অগ্ন্যাশয়,B,হার্ডেরিয়ান গ্রন্থি চোখের সাথে যুক্ত থাকে। এটি চোখের অশ্রুগ্রন্থি এবং চোখের আদ্রতা বজায় রাখতে সাহায্য করে।
128,AFMC 2017-2018,রেটিনার কোন ধরনের কোষ থেকে অপটিক স্নায়ু তৈরী হয়?,রড কোষ,কোণ কোষ,বাইপোলার নিউরন,গাংগ্লিওন কোষ,D,"রেটিনা রড কোষ ও কোণ কোষ নামক দুই ধরনের কোষ নিয়ে গঠিত। রেটিনার দশটি উপস্তর রয়েছে। রেটিনায় বস্তুর প্রতিবিম্ব তৈরী হয়। রেটিনা থেকে অপটিক স্নায়ু তৈরী হয়, যা দর্শন অনুভূতি মস্তিষ্কে প্রেরণ করে। রেটিনার গাংগ্লিওন কোষ থেকে অপটিক স্নায়ু তৈরী হয়।"
696,DAT 2009-2010,নিম্নের কোনটি সঠিক নয়?,লালারসে টায়ালিন নামক উৎসেচক উপস্থিত থাকে,প্রতিদিন প্রায় 2 লিটার গ্যাস্ট্রিক রস নিঃসৃত হয়,মিউসিন HCl-এর ক্ষতিকর ভূমিকা থেকে পাকস্থলি প্রাচীরকে রক্ষা করে,হাইড্রোক্লোরিক এসিডের উপস্থিতি পেপসিনের কার্যক্রমকে বাধাগ্রস্ত করে,D,"HCl এর উপস্থিতিতে নিষ্ক্রিয় পেপসিনোজেন সক্রিয় পেপসিনে রূপান্তরিত হয়, ফলে হাইড্রোক্লোরিক এসিড পেপসিনের কার্যক্রম বাধাগ্রস্ত করে না বরং সক্রিয় করে।"
991,AFMC 2019-2020,মানবদেহে কোন ইউমিউনোগ্লোবিউলিন অনুপস্থিত?,IgB,IgM,IgD,IgA,A,"ইংরেজি শব্দ ইমিউনোগ্লোবিন (Immunoglobulin)-এর সংক্ষিপ্ত রূপ Ig-এর সাথে একটি ইংরেজি বর্ণযোগ করে একেকটি শ্রেণীকে নির্দেশ করা হয়। এই ৫টি শ্রেণী হল IgG, IgM, IgA, IgD, এবং IgE। এই পাঁচ শ্রেণীর প্রতিরক্ষিকা কেবল এদের কাঠামোর অপরিবর্তনশীল অঞ্চলের গঠনেই নয়, বরং কর্মস্থল অনুযায়ীও ভিন্ন হয়।"
816,MAT 2022-2023,মানবদেহে কোনটি লুপ্তপ্রায় অংগ?,থাইরয়েড গ্ল্যান্ড,থাইমাস,স্ক্যাপুলা,ক্যানাইন দাঁত,B,"মানবদেহের লুপ্তপ্রায় অঙ্গগুলো হলো থাইমাস গ্রন্থি, আক্কেল দাঁত, কর্তন দাঁত, পুচ্ছাস্থি, গায়ের লোম, উপপল্লব ইত্যাদি।"
372,MAT 2018-2019,কোনটি মানুষের পশ্চাৎ মস্তিষ্কের অংশ নয়?,মেডুলা অবলংগাটা,পনস,সেরেবেলাম,থ্যালামাস,D,"পশ্চাৎ মস্তিষ্কের অংশসমূহ: সেরেবেলাম, মেডুলা অবলংগাটা, পনস।
অগ্রমস্তিষ্কের অংশ: সেরেব্রাম, থ্যালামাস, হাইপোথ্যালামাস।
মধ্যমস্তিষ্কের অংশ: টেকটাম, সেরেব্রাল অ্যাকুইডাক্ট, কর্পোরা কোয়াড্রিজেমিনা, সেরেব্রাল পেডাঙ্কল।"
522,MAT 2006-2007,স্বরতন্ত্রীর অবস্থান হচ্ছে-,গলবিল,ট্রাকিয়া বা শ্বাসনালি,নাসাগহ্বর,ল্যারিংক্স,D,"স্বরযন্ত্র বা ল্যারিংস:
এটি শ্বাসনালিতে উন্মুক্ত হয়।
এর দুপাশে ২টি করে পাতলা মাংসপেশি আছে, এরাই স্বরতন্ত্রী বা ভোকাল কর্ড (Vocal cord)।
এটি কয়েকটি তরুণাস্থি দ্বারা গঠিত। এদের মধ্যে থাইরয়েড তরুণাস্থি সবচেয়ে বড়।
স্বরযন্ত্রের উপরিভাগের জিহ্বাকৃতির ঢাকনাকে উপজিহ্বা বা এপিগ্লটিস (epiglottis) বলা হয়।"
405,MAT 2017-2018,হেনলির লুপের অবস্থান বৃক্কের কোথায়?,বৃক্কীয় নালিকায়,রেনাল করপাসলে,এফারেন্ট ধমনিকাতে,ইফারেন্ট ধমনিকাতে,A,"বৃক্কের কার্যকরী একক নেফ্রন। নেফ্রণের ২টি প্রধান অংশ:
i. রেনাল করপাসল (২টি অংশ):
রেনাল ক্যাপসুল
গ্লোমেরুলাস
ii. রেনাল টিউব্যুল (৪টি অংশ):
প্রক্সিমাল প্যাঁচানো নালিকা
লুপ অব হেনলি
ডিস্টাল প্যাঁচানো নালিকা
সংগ্রাহী নালী"
412,MAT 2016-2017,ফিলোসফিকা জুওলজিক' গ্রন্থের রচয়িতা কে?,ডারউইন,ল্যামার্ক,দ্য ভিস,ভাইজম্যান,B,"ল্যামার্ক ছিলেন একজন ফরাসি দার্শনিক ও প্রকৃতিবিজ্ঞানী।
তার লেখা ‘ফিলোসফিকা জুওলজিক’ (১৮০৯) গ্রন্থে ল্যামার্কিজম মতবাদ প্রকাশিত হয়।"
482,AFMC 2020-2021,"চিকিৎসাবিদ্যার কোন শাখায় স্থূলতার কারণ, প্রতিরোধ ও চিকিৎসা সম্বন্ধে আলোচনা করা হয়?",Obesity,Geriatrics,Bariatrics,Pediatrics,C,"চিকিৎসাবিদ্যার যে শাখায় স্থূলতার কারণ, প্রতিরোধ ও চিকিৎসা সম্বন্ধে আলোচনা করা হয় তাকে Bariatrics বলা হয়।
অন্যান্য অপশন সম্পর্কিত তথ্য:
Obesity: স্থূলতা।
Geriatrics: বয়স্ক মানুষের চিকিৎসাবিদ্যা।
Pediatrics: শিশুদেহের চিকিৎসাবিষয়ক শাখা।"
170,DAT 2024-2025,কোন গ্রন্থি আমিষ শোষণ নিয়ন্ত্রণ করে?,যকৃত,অগ্ন্যাশয়,থাইমাস,থাইরয়েড,D,কার্বোহাইড্রেট শোষণ নিয়ন্ত্রণ করে -> ইনসুলিন এবং গ্লুকোকটিকয়েড হরমোন। আমিষ এবং লিপিড শোষণ নিয়ন্ত্রণ করে -> থাইরক্সিন হরমোন যা থাইরয়েড গ্রন্থি থেকে নিঃসৃত হয়।
836,DAT 2021-2022,আমাদের জাতীয় পাখির বৈজ্ঞানিক নাম কি?,Gracula religiosa,Copsychus saularis,Passer domesticus,Columba livia,B,আমাদের জাতীয় পাখি দোয়েলের বৈজ্ঞানিক নাম Copsychus saularis
78,AFMC 2019-2020,পেসমেকারে কোন ব্যাটারি ব্যবহৃত হয়?,লিথিয়াম,লেড,পটাশিয়াম,কার্বনিয়াম,A,"একটি লিথিয়াম ব্যাটারি, কম্পিউটারাইজড জেনারেটর ও শীর্ষেসেন্সরযুক্ত কতগুলো তার নিয়ে একটি পেসমেকার গঠিত হয়।"
966,MAT 2020-2021,ভ্রূণে লোহিত কণিকাসমূহ নিম্নের কোথায় তৈরি হয়?,থাইমাস,অগ্ন্যাশয়,প্লীহা,অস্থি মজ্জা,"A,C","ভ্রূণীয় জীবনে লোহিত কণিকাসমূহ কুসুম থলি (৩ সপ্তাহ বয়সে) যকৃত, প্লীহা ও থাইমাস (৬ মাস বয়স পর্যন্ত) থেকে উৎপন্ন হয়। আর, ভূমিষ্ট হওয়ার সময় থেকে পশুকা, কশেরুকা, স্টার্নাম ও শ্রোণিচক্রের লাল অস্থিমজ্জায় অবস্থিত বড় নিউক্লিয়াসযুক্ত এরিথ্রোব্লাস্ট নামক স্টেমকোষ থেকে অবিরাম লোহিত কণিকা সৃষ্টি হয়।"
83,AFMC 2019-2020,অত্যাবশ্যকীয় অ্যামিনো এসিড নয় কোনটি?,হিস্টিডিন,আইসোলিউসিন,লাইসিন,অ্যালানিন,C,"খাদ্যে উপস্থিতির প্রয়োজনীয়তার ভিত্তিতে অ্যামিনো অ্যাসিড দুই ভাগে বিভক্ত। যথা-
১। অত্যাবশ্যকীয় অ্যামিনো অ্যাসিড। এরা দেহাভ্যন্তরে সংশ্লেষিত হয় না। উদাহরণ- লিউসিন, আইসোলিউসিন, লাইসিন, থ্রিওনিন, ভ্যালিন, মেথিওনিন, ফিনাইল অ্যালানিন এবং ট্রিপটোফ্যান (৮টি)। শিশুদের জন্য অত্যাবশ্যকীয় অ্যামিনো অ্যাসিড ১০টি। অতিরিক্ত- আরজিনিন ও হিস্টিডিন।
২। অনাত্যাবশ্যকীয় অ্যামিনো অ্যাসিড: এরা দেহাভ্যন্তরে সংশ্লেষিত হতে পারে। সংখ্যায় ১২টি এবং শিশুদের ক্ষেত্রে ১০টি।"
738,MAT 2015-2016,কোন ভিটামিন পানিতে দ্রবণীয়?,ভিটামিন A,ভিটামিন D,ভিটামিন B কমপ্লেক্স,ভিটামিন K,C,পানিতে দ্রবণীয় ভিটামিন হলো ভিটামিন B এবং ভিটামিন C।
904,MAT 2024-2025,এনজিওপ্লাস্টি করলে কি হয়?,হৃদস্পন্দন বৃদ্ধি পায়,সরু ধমনী প্রশস্ত হয়,হৃদস্পন্দনের গতি ধীর হয়,রক্ত সঞ্চালনের গতি বৃদ্ধি পায়,B,বড় ধরণের অস্ত্রোপচার না করে সংকীর্ণ লুমেনযুক্ত বা রুদ্ধ হয়ে যাওয়া করোনারি ধমনি পুনরায় প্রশস্ত লুমেনযুক্ত করা বা উন্মুক্ত করার পদ্ধতিকে এনজিওপ্লাস্টি বলে। এনজিওপ্লাস্টির উদ্দেশ্য হচ্ছে সরু বা বন্ধ হয়ে যাওয়া লুমেনের ভিতর দিয়ে হৃৎপিন্ডে পর্যাপ্ত O₂ সরবরাহ নিশ্চিত করে হৃৎপিন্ড ও দেহকে সচল রাখা।
291,DAT 2019-2020,নিচের কোন গ্রন্থিটি ক্যালসিয়াম বিপাকে সহায়তা করে?,প্যারাথাইরয়েড,থাইরয়েড,পিটুইটারি,অ্যাড্রেনাল,A,প্যারাথাইরয়েড গ্রন্থি থেকে নিঃসৃত প্যারাথাইরয়েড হরমোন বা প্যারাথরমোন বা প্যারাথাইরিন এর প্রধান কাজ ক্যালসিয়াম ও ফসফরাসের বিপাক নিয়ন্ত্রণ। এটি বৃক্কে ক্যালসিয়ামের পুনঃশোষণ বাড়িয়ে দিয়ে রক্তে ক্যালসিয়ামের মাত্রা বাড়ায় এবং ফসফেটের মাত্রা কমায়। থাইরয়েড গ্রন্থি নিঃসৃত ক্যালসিটোনিন রক্তে ক্যালসিয়ামের মাত্রা কমায়।
311,DAT 2018-2019,সিফিলিস রোগের জন্য দায়ী নিচের কোনটি?,Treponema pallidum,Neisseria gonorrhoeae,Treponema vagmalis,Trichomonas vaginalis,A,"যৌনবাহিত রোগের জীবাণু:
সিফিলিস → Treponema pallidum
গনোরিয়া → Neisseria gonorrhoeae
এইডস → HIV"
849,MAT 2021-2022,কোন এনজাইম আমিষ পরিপাকে সাহায্য করে?,ল্যাকটেজ,ট্রিপসিন,অ্যামাইলেজ,লাইপেজ,B,"ট্রিপসিন এনজাইম আমিষ পরিপাকে সাহায্য করে। ল্যাকটেজ, অ্যামাইলেজ এনজাইম শর্করা পরিপাকে সাহায্যে করে। লাইপেজ ফ্যাট পরিপাকে সাহায্য করে।"
100,AFMC 2018-2019,নিচের কোন প্রাণীটি ত্রিস্তরী?,অ্যামিবা,কেঁচো,হাইড্রা,ম্যালেরিয়া জীবাণু,B,"ত্রিস্তরী প্রাণীর উদাহরণ: কৃমি, শামুক, অক্টোপাস, কেঁচো,
জোঁক, চিংড়ি, মৌমাছি, ব্যাঙ, হাতি, মানুষ সবাই ত্রিস্তরী প্রাণী।"
490,MAT 2002-2003,শোষিত খাদ্যবস্তুর প্রোটোপ্লাজমে রূপান্তরকে বলে-,পরিপাক,শোষণ,আত্তীকরণ,অধিশোষণ,C,"আত্তীকরণ হলো শোষিত খাদ্যবস্তুর প্রোটোপ্লাজমে রূপান্তরের প্রক্রিয়া।
অন্যান্য অপশন:
পরিপাক — খাদ্যবস্তু গলাধঃকরন ও এনজাইমের সহায়তায় ভাঙ্গন।
শোষণ — খাদ্য পরিপাকের পর রক্তনালীর মাধ্যমে সারা দেহে ছড়িয়ে যাওয়ার প্রক্রিয়া।
অধিশোষণ — কোনো পদার্থের অন্য একটি পদার্থের পৃষ্ঠতলে সঞ্চিত বা কেন্দ্রীভূত হওয়া, অভ্যন্তরে প্রবেশ না করা।"
421,MAT 2016-2017,কোনটি ক্ষুদ্রান্ত্রের অংশ নয়?,ডিওডেনাম,ইলিয়াম,এপেনডিক্স,জেজুনাম,C,ক্ষুদ্রান্ত্রের তিনটি অংশ। যথা- ১) ডিওডেনাম ২) জেজুনাম ৩) ইলিয়াম। আর বৃহদান্ত্রের ৩টি অংশ হলো- ১) সিকাম ২) কোলন ৩) মলাশয়। সিকামের সাথে এপেনডিক্স সংযুক্ত থাকে। এপেনডিক্স একটি নিষ্ক্রিয় অঙ্গ যা উদরীয় টনসিল নামেও পরিচিত।
835,DAT 2021-2022,কোনটি Live attenuated ভ্যাক্সিন?,হাম,হেপাটাইটিস বি,টিটেনাস,ইনফ্লুয়েঞ্জা,A,"মিজলজ (হাম) → Live attenuated vaccine,
হেপাটাইটিস বি → Subunut vaccine,
টিটেনাস → Toxoid vaccine,
ইনফ্লুয়েঞ্জা → Killed or Inactivated vaccine."
766,AFMC 2020-2021,সন্তান প্রসবে কোন হরমোন সাহায্য করে?,অক্সিটোসিন,অক্সিন,টেস্টোস্টেরন,গোনাডোট্রপিন,A,শিশু প্রসব: ৪০তম সপ্তাহে অক্সিটসিন ও প্রোস্টাগ্লান্ডিন হরমোন দুটির সক্রিয়তায় জরায়ুর সংকোচন ঘটে। ফলে শিশু জরায়ু থেকে বাইরে আসতে পারে। এটি ৩টি ধাপে সম্পন্ন হয়।
782,MAT 2017-2018,স্ত্রী রুইমাছ ডিম পাড়ে কখন?,জানুয়ারি-মার্চ মাস,ফেব্রুয়ারি-মে মাস,জুন-আগস্ট মাস,সেপ্টেম্বর-জানুয়ারি মাস,C,স্ত্রী রুইমাছ সাধারণত বর্ষাকাল (জুন-জুলাই) মাসে প্রজননের জন্য তৈরি হয় এবং ডিম পাড়ে।
935,DAT 2021-2022,কোনটি Live attenuated ভ্যাক্সিন?,হাম,হেপাটাইটিস বি,টিটেনাস,ইনফ্লুয়েঞ্জা,A,"মিজলজ (হাম) → Live attenuated vaccine,
হেপাটাইটিস বি → Subunut vaccine,
টিটেনাস → Toxoid vaccine,
ইনফ্লুয়েঞ্জা → Killed or Inactivated vaccine."
982,AFMC 2019-2020,কত BMI কে স্বাভাবিক ওজন হিসেবে ধরা হয়?,25.2-29.1,21.5-23.9,18.5-24.9,10.1-14.8,C,"ওজন (কি.গ্রা.) / উচ্চতা (মিটার) → শ্রেনী
< ১৮.৫০→ওজনহীনতা
১৮.৫০ – ২৪.৯ → স্বাভাবিক
২৫.০০ – ২৯.৯ → ওজনাধিক্য
৩০.০০ – ৩৪.৯ → গ্রেড-১ স্থুলতা
৩৫.০০ – ৩৯.৯→ গ্রেড-২ স্থুলতা
> ৪০.০০ →গ্রেড-৩ স্থুলতা/ রোগ গ্রস্থ চূড়ান্ত পর্যায়ের স্থুলতা"
548,MAT 2010-2011,মানুষের গ্লোমেরুলাসে পরিদ্রুত মূত্র ADH এর প্রভাব ছাড়া নিম্নের (%) কতভাগ পুনঃশোষণ প্রক্রিয়ায় নেফ্রনের প্রক্সিমাল প্যাঁচানো নালিকায় শোষিত হয়?,20,40,60,80,C,"নেফ্রনের প্রক্সিমাল প্যাঁচানো নালিকায় প্রায় 60% পুনঃশোষণ ঘটে, বাকি 40% লুপ অব হেনলি, ডিস্টাল প্যাঁচানো নালিকা ও সংগ্রাহী নালিকায় শোষিত হয়।"
339,DAT 2017-2018,মোলার দাঁতের কাজ কোনটি?,খাবার টুকরা করা ও ছেঁড়া,খাবার টুকরা করা ও পেষণ করা,খাবার চর্বন করা ও পেষণ করা,খাবার ছোঁড়া ও চর্বন করা,B,"মোলার দাঁতের কাজ হচ্ছে খাবার টুকরা করা ও পেষণ করা, যা খাবারের পরিপাক প্রক্রিয়ায় সহায়তা করে।"
197,AFMC 2021-2022,প্যানক্রিয়াসের আইলেটস অব ল্যাঙ্গার হ্যান্স এর কোন কোষ (Cells) থেকে ইনসুলিন নিঃসৃত হয়?,আলফা কোষ,ডেলটা কোষ,পিপি কোষ,বিটা কোষ,D,আলফা কোষ থেকে গ্লুকাগন এবং বিটা কোষ থেকে ইনসুলিন নিঃসৃত হয়।
970,MAT 2020-2021,গ্রোথ হরমোন কোথায় তৈরি হয়?,Thalamus,Hypothalamus,Adrenal gland,Pituitary gland,D,"অগ্র পিটুইটারি গ্রন্থি থেকে বৃদ্ধিপোষক হরমোন (STH) বা Growth hormone তৈরি ও নিঃসৃত হয়। অগ্র পিটুইটারি গ্রন্থি থেকে আর যে সব হরমোন নিঃসৃত হয়- Prolactin, LH, ACTH, TSH, FSH ।"
354,DAT 2016-2017,সেরেব্রামের দুটি খণ্ডকে সংযোগকারী স্নায়ু গুচ্ছের নাম-,কর্পাস অ্যালবিকান্স,কর্পাস অ্যাটরেটিকাম,কর্পাস ক্যালোসাম,কর্পাস লুটিয়াম,C,কর্পাস ক্যালোসাম সেরেব্রামের দুটি খণ্ডকে সংযুক্ত করে।
572,MAT 2009-2010,নিম্নের কোন অস্থিতে মজ্জা গহ্বর নাই?,ইশ্চিয়াম,স্টার্নাম,কারপাল,ক্ল্যাভিকল,D,"ক্ল্যাভিকল অস্থিতে মজ্জা গহ্বর থাকে না, এটি পরিবর্তিত দীর্ঘ অস্থি।"
94,AFMC 2019-2020,দেহের ভারসাম্য রক্ষা করে কোনটি?,বহিঃকর্ণ,অন্তঃকর্ণ,মধ্যাকর্ণ,কোনটিই নয়,B,
353,DAT 2016-2017,পাকস্থলিতে কোন করোটিক স্নায়ুর কার্যক্রম বিদ্যমান?,অপটিক,অডিটরি,ভেগাস,অকুলোমোটর,C,"ভেগাস স্নায়ু স্বরযন্ত্র, হৃৎপিণ্ড, পাকস্থলি ও ফুসফুসে কার্যক্রম পরিচালনা করে।"
127,AFMC 2017-2018,মুখমন্ডলীয় অস্থিতে প্যালেটিন এর সংখ্যা কত?,৫,২,১,৮,B,মুখমন্ডলীয় অস্থিতে প্যালেটিন আছে-২টি
202,AFMC 2021-2022,শ্বসনতন্ত্রের উৎপত্তি কোথা থেকে হয়?,Endoderm,Ectoderm,Mesoderm,Teloderm,A,শ্বসনতন্ত্রের উৎপত্তি এন্ডোডার্ম থেকে হয়।
154,DAT 2024-2025,পূর্ণবয়স্ক সুস্থ মানুষের দু'টি ফুসফুসে আলভিওলাসের সংখ্যা কত?,২৫০ মিলিয়ন,৫০০ মিলিয়ন,৩০০ মিলিয়ন,৭০০ মিলিয়ন,D,"নবজাতক শিশুর ফুসফুসে ২০ মিলিয়ন, ৮ বছরের শিশুর ৩০০ মিলিয়ন এবং একজন পূর্ণবয়স্ক মানুষের ফুসফুসে প্রায় ৭০০ মিলিয়ন অ্যালভিওলাই থাকে।"
990,AFMC 2019-2020,গ্রন্থিরাজ বলা হয় কোনটিকে?,শুক্রাশয়,অগ্নাশয়,পিটুইটারি,লালা,C,"পিটুইটারি গ্রন্থি মস্তিষ্কের নিচের অংশে অবস্থিত। দেহের সবচেয়ে বেশি গুরুত্বপূর্ণনালিবিহীন গ্রন্থি হলেও এটি আকারে সবচেয়ে ক্ষুদ্র। এই গ্রন্থি থেকে গোনাডোট্রপিক, সোমাটোট্রপিক, থাইরয়েড উদ্দীপকে হরমোন, এডরেনোকর্টিকোট্রপিন ইত্যাদি হরমোন নিঃসৃতসৃ হয়। এই গ্রন্থি থেকে নিঃসৃতসৃ হরমোন সংখ্যায় যেমন বেশি, অপরদিকে অন্যান্য গ্রন্থির ওপর এসব হরমোনের প্রভাবও বেশি। এজন্য পিটুইটারি গ্রন্থিকে প্রধান/প্রভু গ্রন্থি বলা হয়।"
