text,label,Gemini_3.1_Flash_preview
মালিবাগের আশেপাশে ভাল একজন গাইনী ডাক্তার সাজেস্ট করুন প্লিজ যিনি পেশেন্ট কে সময় দিয়ে কথা শুনেন এবং মনোয়ারা ডেলিভারি ইস্যুতে অন-কল সার্ভিস দিয়ে থাকেন।,INQ,INQ
আচ্ছা বাচ্চা দিনে হলে কি রাতে ঘুমায় কম বা রাতে হলে দিনে ঘুমায় কম এটা কতটুকু সত্যি?,INQ,INQ
প্লিজ আমাকে একটা বুদ্ধি দিয়ে হেল্প করুন।‌,INQ,INQ
বাবুকে কিভাবে ফিডারে অভ্যস্থ করাবো প্লিজ একটা কার্যকরী টিপস দিন প্লিজ।,INQ,INQ
"একটু ফ্যান বন্ধ থাকলে মাথা ঘেমে চুল ভিজে উঠে,  এমন কেনো হচ্ছে কিছু বুঝতে পারছি না,আপনাদের  কারু বেবির কি এমন হয়?",INQ,INQ
আমার মত দুশ্চিন্তায় কি অনেকেই ভুগছেন??,INQ,INQ
"পোস্ট ডেলিভারি পিরিয়ড  এ bleeding  অনেক বেশি,কোনো স্পেশাল স্যানিটারি pad আছে, না regular pad use করেন সবাই?",INQ,INQ
"বেবীর বয়স **, কতটুকু ফর্মূলা খাওয়াবো?",INQ,INQ
আমার বেবী ** বয়সে ** ml খাওয়াই। কিন্তু আমার মনে হচ্ছে ওর পেট ভরছে না। কতটুকু খাওয়াবো?,INQ,INQ
bm পাম্প করে বোতলে খাওয়াচ্ছি বেবীকে। বুঝতে পারছি না কতটুকু খাওয়াতে হবে।,INQ,INQ
পটের কোনটা দেওয়া ভালো হবে?,INQ,INQ
এই অবস্থায় আমি যদি Electric Breast Pump টা কিনি কতটুকু কাজে দিবে আসলে?,INQ,INQ
আমার কি মিল্ক প্রডাকশন বাড়বে?,INQ,INQ
এখন কি একটা ভালো এমাউন্ট ইনভেস্ট করা ঠিক হবে?,INQ,INQ
দাত উঠেনি এমন বাবুর খিচুড়ি তে চিকেন কিভাবে দেন?,INQ,INQ
প্রতিদিন ব্লেন্ড করেন?,INQ,INQ
নাকি একদিনে ব্লেন্ড করে আইস ট্রে তে রাখেন?,INQ,INQ
"Biomil Soy e milk টা দিতে বলেছে , এখন কি দেয়া ঠিক হবে??",INQ,INQ
আমি এখন বুঝতে পারছি না আমার মেয়ের খাবার খাওয়ার অভ্যাস কিভাবে চেঞ্জ করবো?,INQ,INQ
আর ওকে আর কি কি খাবার দিব সারাদিনে??,INQ,INQ
ও কিছুই খাইনা দেখে আমার মাথায় ডিফারেন্ট কোনো আইডিয়া  ও আসে না। প্লিজ হেল্প মি,INQ,INQ
"কি টাইপ স্পুন, বোল, পানির কাপ কিনবো?",INQ,INQ
বেবির খিচুড়ি রান্না করতে কি আলাদা ছোট প্রেশার কুকার/ছোট পাতিল কিনেছিলেন?,INQ,INQ
কোন ডাক্তার ভালো হবে জানা থাকলে জানাবেন প্লিজ।,INQ,INQ
বাচ্চাকে কিভাবে আমি খাওয়াব আর না খেলে কী কী ক্ষতি হবে।,INQ,INQ
এই রকম সমস্যা যারা মিস করেছেন তারা কিভাবে বাচ্চাকে ফর্মুলা দুধ খাওয়াচ্ছেন???,INQ,INQ
আশা করি আপনাদের কাছ থেকে সাজেশন পাবো। ধন্যবাদ।\,INQ,INQ
অনেক আপারা প্রশ্ন করে জানতে চেয়েছেন শিশু বেবি ওয়াকার কখন দিবেন?,INQ,NAR
বেবি ওয়াকার কি আসলেই তাড়াতাড়ি হাটা শিখতে সহযোগিতা করে? নাকি অন্য কিছু?,INQ,INQ
ওয়াকারের সুবিধাগুলো কি কি?,INQ,INQ
পায়ের এই অংশ শক্ত.... এখানে চাপ পরলে অনেক ব্যাথা করে।।।।।  সমাধান কি কেউ বলতে পারেন?,INQ,INQ
কিন্ত আজকে হঠাৎ ব্যাথা করছে এখন কি করা যায়??৬ মাস আগে টিটি ভ্যাক্সিন নিয়েছিলাম।এখন কি করা যায়??,INQ,INQ
কেউ একটু পরামর্শ দিতে পারবেন কি করতে পারি? বা কোনো ঘুমের ওষুধের সাজেশন দিতে পারবেন যেটাতে ক্ষতি কম। ধন্যবাদ।,INQ,INQ
"চোখের পাতা এবং চোখের নিচে অনেক কালো হয়ে গেছে এর জন্য কি ক্রিম / মলম ব্যাবহার করতে পারি,,,,,",INQ,INQ
বদ্ধ রুমে কয়েল জালালে তা কি৷ মাথা ব্যাথার কারণ হতে পারে?,INQ,INQ
"চট্টগ্রামে ভালো একটা হসপিটালের নামের দরকার,",INQ,INQ
"বাম স্তনে প্রচুর ব্যাথা,,,,কি ঔষু্ধ খেলে কমে যাবে,,",INQ,INQ
"মাথায় ভেতর কফ বা পানি জমে আছে, কি ওষুধ খেলে এটা ভালো হবে ??",INQ,INQ
আপনার স্ত্রীকে ডেলিভারির নামে কিসের সিজার করাচ্ছেন?,INQ,INQ
ভাল বিশেষজ্ঞদের পরামর্শ কামনা করছি,INQ,INQ
এখন কি করনীয় আমার,INQ,INQ
"এখন এসব সমস্যা গুলো কাটিয়ে স্মৃতিশক্তি বাড়ানো এবং বুকের কফ সমস্যা সমাধানের জন্য এবং মানসিক ভাবে কমফোর্ট হওয়ার জন্য,",INQ,INQ
আমার দৈনন্দিন জীবনে কি কি করা উচিত?,INQ,INQ
"সুপরামর্শ দিলে উপকৃত হইবো,অগ্রিম ধন্যবাদ।",INQ,INQ
এই গরমে পেটের সমস্যা থেকে মুক্তির উপায় জানাবেন প্লিজ প্লিজ,INQ,INQ
কিভাবে ঘা শুকাতে পারি যাতে আর চামড়া পানি পানি ভাব বা ভেজা ভেজা না থাকে,INQ,INQ
চুল সফ্ট এবং সিল্কি করা যায় কিভাবে?,INQ,INQ
এই মলমের কাজ কি প্লিজ জানাবেন,INQ,INQ
সহবাস টাইম দীর্ঘ করার জন্য কি কোন ক্যাপসুল আছে?,INQ,INQ
যেটা খাওয়ার পর ২০-২৫ মিনিট টাইম দেয়া যাবে?,INQ,INQ
কোথায় নিয়ে গেলে ভালো হবে? India Singapore Thailand?,INQ,INQ
"আপনার মায়ের লিভারের কোন টেস্ট করিয়েছেন? দেখাতে পারবেন? বাহিরের চেয়ে দেশেও ভালো ট্রিটমেন্ট আছে,",INQ,INQ
তারপর আগের মত হয়ে যায়  কী করা যায়??,INQ,INQ
আমি জানি এলার্জি সম্পূর্ন ভালো হয় না কিন্তু এটাকে স্থায়ীভাবে নিয়ুন্ত্রনের কোন উপায় আছে কি?,INQ,INQ
অথবা ভালো কোন ডাক্তার বা মেডিকেল সাজেস্ট করতে পারবেন?,INQ,INQ
পেট ফোলা সাথে পাতলা পায়খানা ও বমি হচ্ছে কি ঔষধ খাবো বা কি করব কেউ পারলে একটু পরামর্শ দিয়ে হেল্প করেন।,INQ,INQ
"এখন প্রশ্ন হলো, যদি আমি হস্তমৈথুন করি কিন্তু বীর্যপাত না ঘটায় তাহলেও কি শুকিয়ে যাবো? মানে হস্তমৈথুন করতে করতে বীর্য বের হওয়ার সময় হলে যদি তখন আর হস্তমৈথুন না করি তাহলেও কি শুকিয়ে যাওয়ার সম্ভাবনা আছে?",INQ,INQ
"আমার বুকের বাম পাশে বিচির মতো শক্ত এবং হালকা ব্যাথা করে,,, এর জন্য করনীয় কি? আর কি হতে পারে?",INQ,INQ
"দু পায়ের গোড়ালি তে খুব ব্যাথা,  এতে কোনো সমাধান আছে? অভিজ্ঞদের পরামর্শ চাই।",INQ,INQ
কি ওষুধ খেলে ভালো হবে।,INQ,INQ
এক বছর বয়সী বাচ্চা কে গ্লুকোজ খাওয়া নো যাবে কী না?,INQ,INQ
এখন করণীয় কি????,INQ,INQ
"তো আপনাদের যদি উপায় জানা বা এই সমস্যার সমাধান করার উপায় থাকে তাহলে, আমার জানাবেন plz,  বাজে কমেন্ট করিয়েন না plz",INQ,INQ
এমতঅবস্থায় উনাকে ঢাকাতে কোথায় দেখাতে  পারি?,INQ,INQ
"উনার কি কি পরীক্ষা করানো উচিত, যাতে কি জন্য ব্যথাটা হচ্ছে এটা নিচ্ছিত হতে পারি?",INQ,INQ
"একজন পরামর্শ দিলো MRI  করানোর জন্য।  তাহলে বুজা যাবে কেন ব্যথাটা হচ্ছে। যদি MRI করতে হয় , তাহলে কোথায় থেকে করলে ভালো হবে ?",INQ,INQ
"হালকা চাপ নিলেই মাথাব্যথা করে,এখন আমার করণীয় কি?",INQ,INQ
পা ফাটা থেকে কিভাবে মুক্তি পাবো?,INQ,INQ
so please কেউ যদি কোন ভালো ডাক্তারের সম্পর্কে জানেন একটু  পরামর্শ দিতেন,INQ,INQ
কোনো এন্টিবায়োটিক ট্যাবলেট খাওয়ার আগে কি গ্যাসের ট্যাবলেট খাওয়া লাগে?,INQ,INQ
এটার কারন কি?  আর কোন ডাক্তার দেখালে ভালো হবে?,INQ,INQ
সিনকারা সিরাপ এটা কি মেয়েদের জন্য??  নাকি ছেলে মেয়ে উভয়ই খেতে পারবে??,INQ,INQ
মাথায় অনেক চুল পারে সেই জন্য কি শ্যাম্পু ব্যবহার করা য়ায,INQ,INQ
স্বর ভংঙ হলে গলার ভিতর কোন জিনিসটির বিলুপ্ত হয়..?,INQ,INQ
কোন জিনিসটির বিলুপ্ত হওয়ার ফলে গলার আওয়াজের পরিবর্তন হয়..?,INQ,INQ
মেয়েদের হরমোন এর অভাবে মাসিকের রাস্তায় জালাপোড়া হলে মেডিসিন এর পাশাপাশি হরমোন অভাব পুরনের জন্য কি কি খাবার খেতে পারে..?,INQ,INQ
চোখের দূরের দৃষ্টিশক্তি কম গ্রুপে এমন কেউ কি আছেন?,INQ,INQ
"সম্মানিত ডক্টরদের কাছে পরামর্শ চাই,কিভাবে আমি এই পেইন থেকে মুক্তি পেতে পারি.।",INQ,INQ
হঠাৎ করে আমার ঠোঁটের কোনে ঘাঁ হয়ে গেছে এখন কি করনীয়?,INQ,INQ
সকালে খালি পেটে মেথি চিবিয়ে খেলে কৃমি ও নানান রোগ দূর হয়।,INF,INF
খাবারে মেথির স্বাস্থ্যসম্মত উপস্থিতি ডায়াবেটিক ও স্ট্রোকের ঝুঁকি কমায়।,INF,INF
সকালে খালি পেটে মেথি চিবিয়ে খেলে অথবা মেথি ভেজানো পানি খেলে রক্তে ক্ষতিকর কোলেস্টেরলের পরিমাণ কমে যায়।,INF,INF
রক্তে চিনি কমানোর বিস্ময়কর উপাদান হিসেবে মেথি বিবেচিত হয়।,INF,INF
মেথি গ্যাস্ট্রিক ও বদহজমের মহৌষধ হিসেবে পরিচিত।,INF,INF
মাতৃদুগ্ধ বৃদ্ধির জন্য কালিজিরার মতো মেথি পিষে খেলে উপকার হয়।,INF,SUG
তবে মেথি ভাজলে এর গুণাগুণ অনেকটাই নষ্ট হয়ে যায়।,INF,INF
তাই কড়া রোদে মেথি শুকিয়ে তার ভর্তা খাওয়া যেতে পারে।,INF,SUG
মেথি গরমজনিত ত্বকের অসুখে অত্যন্ত উপকারী।,INF,INF
মেথি ভেজা এই তেল নিয়মিত ব্যবহারে চুলের গোড়া হয় শক্ত ও মজবুত হয়।,INF,INF
মেথি গুঁড়ো টক দইয়ের সাথে মিশিয়ে চুলে লাগালে চুল হয় কোমল ও ঝরঝরে।,INF,INF
"ত্বকে ঘা, ফোড়া, ইরিটেশন ইত্যাদি দূরীকরণে মেথির জুড়ি নেই।",INF,INF
মেছতায় মেথি বাটা নিয়মিত ব্যবহার করলে তা সহজে ছড়িয়ে পড়ে না এবং ধীরে ধীরে কমে যায়।,INF,INF
কোলন ক্যান্সার প্রতিরোধ করে থাকে,INF,INF
"মেথিতে রয়েছে প্রোটিন, ফাইবার, আয়রন, পটাশিয়াম, উপক্ষার, ভিটামিন সি এবং নিয়াসিন।",INF,INF
এগুলো ছাড়াও এতে রয়েছে ডায়োজেনিন এবং বিভিন্ন বৈশিষ্ট্যসম্পন্ন স্ত্রী হরমো,INF,INF
কাঁচা পেঁপে সবজি ও সালাদ হিসেবে ব্যবহৃত হয়।,INF,INF
হরমোনজনিত সমস্যায় অ্যান্টিএন্ড্রোজেন দিয়েও চিকিৎসা করা হয়।,INF,INF
"চিকিৎসার ক্ষেত্রে ব্রণের প্রকার, আনুষঙ্গিক জটিলতা, রোগীর বয়স এবং সময়কাল বিবেচনা করা হয়।",INF,INF
"প্রথমত চিকিৎসায় বিভিন্ন ধরনের ক্রিম, যেমন: ইরাইথ্রোমাইসিন, ক্লিনডামাইসিন, এজিলিক অ্যাসিড, টেন্টনয়েন, বেনজাইল পারঅক্সাইড ইত্যাদি ব্যবহার করা হয়।",INF,INF
"কাজ না হলে বা রোগ তীব্র হলে এর পাশাপাশি মুখে খাবার ওষুধও, যেমন: এজিথ্রোমাইসিন, ডক্সিসাইক্লিন, ক্লিনডামাইসিন ইত্যাদি দেওয়া হয়।",INF,INF
"কখনো এরপরও ব্রণ হতে থাকে বা কখনো বড় গোটা বা ফোড়ার মতো দেখা যায়, সে ক্ষেত্রে সবচেয়ে কার্যকর হলো আইসো টেট্রিনয়েন ক্যাপসুল।",INF,INF
ব্রণ হলে আক্রান্ত স্থানে বার বার স্পর্শ করা উচিত নয়।,INF,SUG
সকালে এককোয়া রসুন খেলে যে ৮ ধরণের রোগ আপনার কাছে ঘেঁষতে পারবে না,INF,INF
"কোন ঘা বা আলসার থেকে বিশ্রী পঁচা দুর্গন্ধ বেরুচ্ছে এমন রোগীর সদৃশ ঔষধ- ব্যাপ্টিসিয়া, মার্ক সল।",INF,INF
তাতে দেখা গেছে নিয়মিত মুগ ডাল খেলে রক্তে শর্করার মাত্রা কম হতে থাকে।,INF,INF
"ঠান্ডা পানি পান করা মারাত্মক ক্ষতির কারণ হতে পারে! যদি অল্প বয়সে ঠাণ্ডা পানি প্রভাবিত না করে, তবে এটি বৃদ্ধ বয়সে ক্ষতি করবেই।",INF,INF
লাল চালে রয়েছে সেলেনিয়াম।,INF,INF
এটি শরীরের রোগ প্রতিরোধ ক্ষমতা বাড়ায়।,INF,INF
আর পলিশ করা সাদা চালে খুবই সামান্য পরিমাণে সেলেনিয়াম থাকে।,INF,INF
লাল চালে যে পরিমাণ আয়রন রয়েছে তা রক্ত শূন্যতায় ভোগা মানুষের জন্য ম্যাজিকের মতো কাজ করে।,INF,INF
রক্তে শর্করার মাত্রা নিয়ন্ত্রণে রাখে বলে লাল চাল ডায়াবেটিসের রোগীদের জন্যও খুব উপকারী।,INF,INF
লাল চালে থাকে ক্যালসিয়াম ও ম্যাগনেশিয়াম এই উপাদান দুটি একসঙ্গে হাড়ের ক্ষয় প্রতিরোধ করতে সাহায্য করে ও দাঁত ভালো রাখে।,INF,INF
"ম্যাগনেশিয়াম মাইগ্রেন কমায়, উচ্চরক্তচাপ কমায় ও হৃদরোগ প্রতিরোধ করে।",INF,INF
"লাল চালের অ্যানথোসায়ানিন ত্বকের ভাঁজ কমায়, ত্বকে তারুণ্য ধরে রাখে এবং এতে অ্যান্টি–অক্সিডেন্ট থাকায় সূর্যের আলোর ক্ষতিকর আলট্রা ভায়োলেট রশ্মি থেকে ত্বককে রক্ষা",INF,INF
"লাল চালে প্রচুর অ্যানথোসায়ানিন নামের অ্যান্টিঅক্সিডেন্ট থাকে, যা শরীরে প্রদাহ ও অ্যালার্জি কমায়।",INF,INF
পাশাপাশি ক্যানসারের ঝুঁকি এবং ওজন কমাতে সাহায্য করে।,INF,INF
তাই যারা ওজন কমানোর চেষ্টা করছেন তাদের জন্যও সাদা চালের চেয়ে লাল চাল (ব্রাউন রাইস) ভালো।,INF,SUG
"অতিরিক্ত ঘুমের অভাব মাইক্রোগ্লিয়া কোষকে সক্রিয় করে এবং তাদের ফ্যাগোসাইটিক (কোষের বর্জ্য খেয়ে ফেলা) কাজে অনুপ্রেরণা দেয়, নিউরোইনফ্লামেশনের কোনো বড় লক্ষণ ছাড়াই।",INF,INF
এ থেকে বোঝা যায় বড় সময়ের জন্য ঘুমের অভাব মাইক্রোগ্লিয়াকে প্রভাবিত করে এবং অন্যান্য সমস্যার ব্যাপারে মস্তিষ্ককে সংবেদনশীল করে তোলে।”,INF,INF
"তবে যে ব্যাপারটি বেশি দুশ্চিন্তার উদ্রেক করে তা হলো মাইক্রোগ্লিয়ার কার্যক্রম, তারা অতিরিক্ত ঘুমের অভাবের ফলে সক্রিয় হয়।",INF,INF
আর এর সক্রিয়তা থেকে দেখা দিতে পারে আলঝেইমার্স এবং মস্তিষ্কের ক্ষমতা ক্ষয় হওয়ার অন্যান্য রোগগুলো।,INF,INF
"ঘুমের অভাব হলে সিন্যাপ্সের কিছু অংশ খেয়ে ফেলে অ্যাস্ট্রোসাইট, এটা আমরা প্রথমবারের মত দেখাতে পেরেছি",INF,INF
গর্ভবতী নারীর কোভিড-১৯ ভ্যাকসিন গ্রহণের লাভ-ক্ষতি সম্পর্কিত তথ্য এখনো অপ্রতুল।,INF,INF
অন্যান্য টিকার মত কোভিড-১৯ ভ্যাকসিন গ্রহণের পরেও টিকা পরবর্তী বিরূপ প্রতিক্রিয়া দেখা দিতে পারে।,INF,INF
কোভিড-১৯ ভ্যাকসিন এর দীর্ঘমেয়াদি প্রভাব সম্পর্কিত কোন তথ্য এখন পর্যন্ত জানা নেই।,INF,INF
"কখনো কখনো হজম প্রক্রিয়াকে তরান্বিত করতে শরীরের বিভিন্ন অর্গান বা অংগ থেকে পাকস্থলী বা স্টম্যাক এর দিকে রক্তের ডাইভারসন হয়, এর মাঝে হৃদপিন্ড বা হার্ট অন্যতম যেখানে রক্ত চলাচলে স্বল্পতা ঘটে।",INF,INF
ফলশ্রুতিতে ভারী খাবার দাবারের ২ ঘন্টার মধ্যে হার্ট অ্যাটাকের ঝুঁকি বেড়ে যায় প্রায় চারগুণ।,INF,INF
রোগীর নিজের থেকে উত্পন্ন প্ররোচিত প্লুরিপোটেন্ট স্টেম সেলগুলি নতুন অঙ্গ জন্মাতে ব্যবহার করা যেতে পারে যা প্রত্যাখ্যাত হওয়ার ঝুঁকি কম থাকে।,INF,INF
ট্রান্সপ্ল্যান্টে ব্যবহারের জন্য স্টেম সেলগুলি নতুন অঙ্গ তৈরি করতে ব্যবহার করা যেতে পারে:,INF,INF
বয়সজনিত ম্যাকুলার ডিজেনারেশনের সাথে কিছু লোকের দৃষ্টিশক্তি হারায় কারণ রেটিনার কোষ?  চোখের রেটিনাল পিগমেন্ট এপিথেলিয়াম (RPE) কোষ কাজ করা বন্ধ করে দেয়।,INF,INF
"হস্তমৈথুন জনিত কারনে যাদের বিশেষ অঙ্গ নিস্তেজ, দুর্বল ও ছোট হয়ে গেছে, তাদের জন্য আকরকরা হতে পারে অনন্য সমাধান।",INF,INF
"ঠান্ডা সর্দি কাশি, বৃক্কের কফ নিঃসারক ও বলকারক হিসেবে বহু বছর থেকে ব্যবহৃত হয়ে আসছে।",INF,INF
কালোজিরায় আছে অ্যান্টিমাইক্রোরিয়াল এজেন্ট অর্থাৎ শরীরের রোগ-জীবাণু ধ্বংসকারী উপাদান।,INF,INF
"এর উপস্থিতিতে শরীরে সহজে ঘা, ফোড়া, সংক্রামক রোগ হয় না।",INF,INF
স্টেম সেল হল এমন একটি কোষ যার শরীরে বিশেষ ধরনের কোষে বিকশিত হওয়ার অনন্য ক্ষমতা রয়েছে।,INF,INF
ভবিষ্যতে এগুলি রোগের কারণে ক্ষতিগ্রস্ত বা হারিয়ে যাওয়া কোষ এবং টিস্যুগুলিকে প্রতিস্থাপন করতে ব্যবহার করা যেতে পারে।,INF,INF
কালোজিরা ডায়াবেটিস রোগীদের রক্তের শর্করার মাত্রা কমিয়ে দেয় ফলে ডায়াবেটিস আয়ত্তে রাখা সহজ হয়।,INF,INF
কালোজিরা চুলের গোড়ায় পুষ্টি পৌঁছে দেয় ফলে চুলপড়া বন্ধ হয় এবং চুল লম্বা হতে সাহায্য করে।,INF,INF
কালোজিরা মস্তিস্কে রক্ত সঞ্চালন বৃদ্ধি করে ফলে স্মরণ শক্তি বৃদ্ধি পায়।,INF,INF
কালোজিরা শিশুর দৈহিক ও মানসিক বৃদ্ধিকে ত্বরান্বিত করে।,INF,INF
দেহের সাধারণ উন্নতি; নিয়মিত কালোজিরা সেবনে শরীরের প্রতিটি অঙ্গ প্রত্যঙ্গকে সতেজ করে ও সার্বিকভাবে স্বস্থ্যের উন্নতি সাধন করে।,INF,INF
"অরুচি, উদরাময়, শরীর ব্যথা, গলা ও দাঁতের ব্যথা, মাইগ্রেন, চুলপড়া, সর্দি, কাশি, হাঁপানি নিরাময়ে কালোজিরার ভূমিকা অসাধারণ।",INF,INF
কালোজিরা নিন্ম রক্তচাপ বৃদ্ধি এবং উচ্চ রক্তচাপ হ্রাস করার মাধ্যমে শরীরে রক্তচাপের  মাত্রা স্বাভাবিক করতে সাহায্য করে।,INF,INF
"কালোজিরা শ্বসনতন্ত্র, সংবহন, পেট, অন্ত্র, কিডনি এবং লিভার সম্পর্কিত রোগের নিরাময় করে।",INF,INF
"মাথা ঝিমঝিম করা, অবসন্নতা-দুর্বলতা, অনিদ্রা, চুলপড়া , মুখশ্রী ও সৌন্দর্য্য রক্ষা, মাথাব্যথা, নিষ্ক্রিয়তা ও অলসতা, ইত্যাদি দূর করতে কালোজিরা কার্যকরী।",INF,INF
দুধ একটি সুষম খাবার।,INF,INF
"দুধে যে #বায়োঅ্যাক্টিভ প্রপারটিস থাকে, তা #স্ট্রেস কমিয়ে ভালো ঘুম হতে সাহায্য করে।",INF,INF
"দুধে ভিটামিন ডি থাকে, যা হাড় মজবুত করতে সাহায্য করে ।",INF,INF
"বেশিরভাগ নারীদের বয়স বৃদ্ধির সাথে সাথে #অস্টিওআরথ্রারাইটিসের সমস্যা দেখা দেয়, তাই প্রতিদিন  দুধ খেলে এ ধরনের রোগ হওয়ার সম্ভাবনা কম থাকে।",INF,INF
"দুধের মধ্যে প্রোটিন এবং ল্যাক্টিন রয়েছে তা আপনাকে রিল্যাক্স করতে সাহায্য করে, ফলে সারাদিনের কাজের জন্য #এনার্জি পাওয়া যায়।",INF,INF
"দুধে #কোবালামিন থাকে, যা ত্বকের ইল্যাস্টিসিটি বজায় রাখতে সাহায্য করে ফলে অকালে চামড়া ঝুলে যায়না এবং ত্বক নরম ও তরতাজা থাকে।",INF,INF
ত্বক সুন্দর ও পরিষ্কার হতে সাহায্য করে।,INF,INF
